seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755020055,5,452,426,0.9424778761061947,safe,0.007,False,False,0.0038457869995909277,3.95499992009718e-05
1755020056,5,708,554,0.7824858757062146,safe,0.007,False,False,0.002403466001851484,4.2321997170802206e-05
1755020057,5,118,111,0.940677966101695,safe,0.007,False,False,0.0008881479989213403,4.4020998757332563e-05
1755020058,5,2110,2055,0.9739336492890995,safe,0.007,False,False,0.008306922998599475,5.6175998906837776e-05
1755020059,5,266,233,0.8759398496240601,safe,0.007,False,False,0.0008847120006976184,2.3370997951133177e-05
1755020060,5,670,535,0.7985074626865671,safe,0.007,False,False,0.0005285240004013758,3.803000072366558e-05
1755020061,5,2506,2253,0.8990422984836393,safe,0.007,False,False,0.08703931199852377,5.1351002184674144e-05
1755020062,5,2224,2112,0.9496402877697842,safe,0.007,False,False,0.02101751400186913,6.671300070593134e-05
1755020063,5,2170,2110,0.9723502304147466,safe,0.007,False,False,0.009984899999835761,4.4011001591570675e-05
1755020064,5,308,254,0.8246753246753247,safe,0.007,False,False,0.0027862860006280243,3.8227000914048404e-05
1755020065,5,230,215,0.9347826086956522,safe,0.007,False,False,0.002251527999760583,3.731800097739324e-05
1755020066,5,2506,2253,0.8990422984836393,safe,0.007,False,False,0.1046596740015957,5.3298001148505136e-05
1755020067,5,2156,2103,0.975417439703154,safe,0.007,False,False,0.1006475579997641,7.378699956461787e-05
1755020068,5,134,117,0.8731343283582089,safe,0.007,False,False,0.0007909280029707588,3.533900235197507e-05
1755020069,5,4002,3004,0.750624687656172,safe,0.007,,False,0.20921473999987938,6.790000043110922e-05
1755020070,5,4200,3112,0.7409523809523809,safe,0.007,False,False,0.01204084600249189,5.748499825131148e-05
1755020071,5,2308,2154,0.9332755632582322,safe,0.007,False,False,0.04011138299756567,0.00016145699919434264
1755020072,5,790,620,0.7848101265822784,safe,0.007,False,False,7.23550001566764e-05,3.3333999454043806e-05
1755020073,5,136,119,0.875,safe,0.007,False,False,0.0005985040006635245,3.883799945469946e-05
1755020074,5,534,472,0.8838951310861424,safe,0.007,False,False,0.001478909998695599,4.1580002289265394e-05
1755020075,5,1002,801,0.7994011976047904,safe,0.007,,False,0.0018551619978097733,4.101800004718825e-05
1755020076,5,742,581,0.7830188679245284,safe,0.007,False,False,0.002156505001039477,4.200599869363941e-05
1755020077,5,760,590,0.7763157894736842,safe,0.007,False,False,0.0002893630007747561,3.868099884130061e-05
1755020078,5,2304,2202,0.9557291666666666,safe,0.007,False,False,0.20311504100027378,5.990200224914588e-05
1755020079,5,4240,3220,0.7594339622641509,safe,0.007,False,False,0.00033181600156240165,3.054699845961295e-05
1755020080,5,282,241,0.8546099290780141,safe,0.007,False,False,0.0005772190015704837,2.3373999283649027e-05
1755020081,5,664,532,0.8012048192771084,safe,0.007,False,False,0.0012513239998952486,4.231300044921227e-05
1755020082,5,2304,2152,0.9340277777777778,safe,0.007,False,False,0.13546361699991394,5.120299829286523e-05
1755020083,5,139,122,0.8776978417266187,safe,0.007,False,False,0.0002871059987228364,3.230200309189968e-05
1755020084,5,2515,2260,0.8986083499005965,safe,0.007,False,False,0.004818919001991162,4.03220001317095e-05
1755020085,5,2606,2303,0.8837298541826554,safe,0.007,False,False,0.060547105997102335,5.6329998187720776e-05
1755020086,5,662,531,0.8021148036253777,safe,0.007,False,False,0.0012418999976944178,2.2903001081431285e-05
1755020087,5,2324,2162,0.9302925989672978,safe,0.007,False,False,0.009087099999305792,4.948800051352009e-05
1755020088,5,2560,2290,0.89453125,safe,0.007,False,False,0.0012789229986083228,2.8855996788479388e-05
1755020089,5,409,405,0.9902200488997555,safe,0.007,False,False,0.008351347998541314,4.515100226853974e-05
1755020090,5,2602,2301,0.8843197540353575,safe,0.007,False,False,0.017717867998726433,6.371800191118382e-05
1755020091,5,316,259,0.819620253164557,safe,0.007,False,False,0.0008465659993817098,2.0700001186924055e-05
1755020092,5,360,290,0.8055555555555556,safe,0.007,False,False,0.00026694100233726203,3.8906000554561615e-05
1755020093,5,812.0,706,0.8694581280788177,safe,0.007,True,False,0.001702646000921959,0.0005492089985636994
1755020094,5,4012,3011,0.7504985044865404,safe,0.007,,False,0.05215684500217321,5.1068996981484815e-05
1755020095,5,2622,2311,0.8813882532418001,safe,0.007,False,False,0.016252069002803182,4.898999759461731e-05
1755020096,5,100,72,0.72,safe,0.007,,False,0.00013821199900121428,2.9306000215001404e-05
1755020097,5,2522,2261,0.8965107057890563,safe,0.007,False,False,0.016241735000221524,6.563900024048053e-05
1755020098,5,78,60,0.7692307692307693,safe,0.007,False,False,7.964999895193614e-05,2.214699998148717e-05
1755020099,5,2170,2095,0.9654377880184332,safe,0.007,False,False,0.007454582999343984,4.012199860881083e-05
1755020100,5,370,295,0.7972972972972973,safe,0.007,False,False,0.0002300489977642428,3.693500184454024e-05
1755020101,5,0,610,,,0.007,False,False,0.0002526659991417546,0.0003658880013972521
1755020102,5,462,431,0.9329004329004329,safe,0.007,False,False,0.004576990999339614,4.6924000344006345e-05
1755020103,5,804,610,0.7587064676616916,safe,0.007,,False,0.0027875369996763766,6.35130018054042e-05
1755020104,5,2232,2116,0.9480286738351255,safe,0.007,False,False,0.09715459099970758,6.553799903485924e-05
1755020105,5,652,526,0.8067484662576687,safe,0.007,False,False,0.0029841659998055547,4.491399886319414e-05
1755020106,5,290,231,0.7965517241379311,safe,0.007,,False,0.00241471500339685,6.084100095904432e-05
1755020107,5,4012,3009,0.75,safe,0.007,False,False,0.1324464249992161,5.7691999245435e-05
1755020108,5,2254,2128,0.9440993788819876,safe,0.007,False,False,0.02803383699938422,6.495300112874247e-05
1755020109,5,172,146,0.8488372093023255,safe,0.007,False,False,0.0013497149993781932,4.59809998574201e-05
1755020110,5,804,614,0.763681592039801,safe,0.007,False,False,0.0025964630003727507,4.7776000428711995e-05
1755020111,5,3412,3206,0.9396248534583822,safe,0.007,False,False,0.04371473799983505,5.774800229119137e-05
1755020112,5,2152,2086,0.9693308550185874,safe,0.007,False,False,0.054903478998312494,5.71429991396144e-05
1755020113,5,2806,2403,0.8563791874554526,safe,0.007,False,False,0.10491990500304382,6.441799996537156e-05
1755020114,5,2062,2031,0.9849660523763336,safe,0.007,False,False,0.10014472500188276,6.948899681447074e-05
1755020115,5,444,332,0.7477477477477478,safe,0.007,False,False,0.000509302997670602,3.7393998354673386e-05
1755020116,5,2110,2055,0.9739336492890995,safe,0.007,False,False,0.008693741998285986,4.3439002183731645e-05
1755020117,5,2314,2158,0.9325842696629213,safe,0.007,False,False,0.0423077209998155,6.670800212305039e-05
1755020118,5,139,122,0.8776978417266187,safe,0.007,False,False,0.000311100000544684,3.82329999411013e-05
1755020119,5,2020,2011,0.9955445544554455,safe,0.007,False,False,0.2821319200011203,6.181200296850875e-05
