seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G
1755017115,3,249.99502233739946,173.43953513350985,0.693771953984874,safe,0.0,False,False,0.0006767970007786062,4.953700045007281e-05
1755017116,3,100.60562985187859,78.5063746271653,0.78033778768395,safe,0.0,False,False,8.000799789442681e-05,0.00017573500008438714
1755017117,3,151.67336696525183,127.28352559416112,0.839194963103322,safe,0.0,False,False,5.970499842078425e-05,0.00021017199833295308
1755017118,3,233.50952210435102,132.53848338626491,0.567593484804598,safe,0.0,True,False,0.0009989080026571173,0.003079289999732282
1755017119,3,14.243486350374893,11.243486350374845,0.7893774089992309,safe,0.0,False,False,5.778199920314364e-05,0.00019321000218042172
1755017120,3,85.21709056919184,74.95770500365546,0.8796088261519995,safe,0.0,False,False,6.539800233440474e-05,0.0006798079994041473
1755017121,3,291.7428442571869,267.03372284491866,0.9153051329324607,safe,0.0,False,False,5.618700015475042e-05,0.0005550220012082718
1755017122,3,30.410081741879175,26.859087864052107,0.8832297161195451,safe,0.0,False,False,0.00014147999900160357,0.00017322699932265095
1755017123,3,68.89178982775897,63.35629363562484,0.9196494066132728,safe,0.0,False,False,0.00011054799688281491,0.0003366170021763537
1755017124,3,138.7941902844862,116.79419028448577,0.8414919244464982,safe,0.0,False,False,5.66849994356744e-05,0.0004526369993982371
1755017125,3,148.0781127923941,125.72266704044216,0.8490293715230263,safe,0.0,False,False,5.271199916023761e-05,0.0001372700025967788
1755017126,3,90.78700799698107,71.50410929273534,0.7876028836098778,safe,0.0,False,False,0.00012436699762474746,0.0010257770009047817
1755017127,3,278.6006023132861,223.60060231328254,0.8025847771206319,safe,0.0,False,False,6.221500007086433e-05,0.0004196190020593349
1755017128,3,67.13167950228853,63.94535027800889,0.9525361312587,safe,0.0,False,False,0.00011419099973863922,0.000687102998199407
1755017129,3,205.97091645345182,133.57098786434446,0.6484944096198683,safe,0.0,False,False,6.43639978079591e-05,7.379199814749882e-05
1755017130,3,251.36782339013277,222.05749601803635,0.8833966616061052,safe,0.0,,False,5.376899935072288e-05,3.956000000471249e-05
1755017131,3,151.98087895006182,135.8446836845997,0.893827464501214,safe,0.0,False,False,0.0001011789972835686,0.00036090499997953884
1755017132,3,9.910194398812505,8.141015470132288,0.8214788875491473,safe,0.0,False,False,9.858599878498353e-05,9.695500193629414e-05
1755017133,3,20.34678057077802,14.693561141555904,0.7221565638083672,safe,0.0,False,False,5.618900104309432e-05,7.146599818952382e-05
1755017134,3,1070.932744799468,1019.7512859187163,0.9522085218429516,safe,0.0,False,False,6.519999806187116e-05,0.005129106000822503
1755017135,3,17.99412225243308,12.223458007518895,0.6793028210012354,safe,0.0,False,False,0.00010123700121766888,0.00010263099829899147
1755017136,3,26.251095710983712,23.18349584059191,0.8831439302890397,safe,0.0,,False,5.7722001656657085e-05,4.705299943452701e-05
1755017137,3,10.902576043375653,9.246490977384822,0.8481014890974267,safe,0.0,,False,5.702300040866248e-05,6.634900273638777e-05
1755017138,3,65.70205601439707,62.70205601439697,0.9543393284474581,safe,0.0,False,False,6.139399920357391e-05,0.0012452350019884761
1755017139,3,384.8183713290359,334.6471986742987,0.8696237591738083,safe,0.0,False,False,8.021100074984133e-05,0.0019513549996190704
1755017140,3,121.83580735073994,115.0986587921019,0.9447030499068045,safe,0.0,False,False,6.493299952126108e-05,0.0007569570007035509
1755017141,3,4.569629411997312,3.5696294119973073,0.7811638735135591,safe,0.0,,False,6.1029997596051544e-05,4.301399894757196e-05
1755017142,3,190.09495814342654,177.55535878641186,0.9340350765770781,safe,0.0,False,False,7.507299960707314e-05,0.0008074749966908712
1755017143,3,57.64942382532443,55.66208881318882,0.9655272354818816,safe,0.0,False,False,0.0002887390000978485,0.001489083999331342
1755017144,3,263.63557513706985,253.63557513706974,0.962068852070511,safe,0.0,False,False,0.00012361500193946995,0.000426097001763992
1755017145,3,37.365362452282156,26.365362452282156,0.7056097070101308,safe,0.0,False,False,5.7631998060969636e-05,0.00017684599879430607
1755017146,3,275.4945174590023,271.35538780241853,0.984975636920979,safe,0.0,False,False,0.00010908499825745821,0.0027723679995688144
1755017147,3,162.3800044912982,144.5693030355813,0.8903146879967517,safe,0.0,False,False,0.00010328299686079845,9.587800013832748e-05
1755017148,3,1326.695131787294,1124.6951317872708,0.8477419603342531,safe,0.0,False,False,8.326000170200132e-05,0.008181543998944107
1755017149,3,1469.5767364570552,1293.7984452470741,0.8803884908836009,safe,0.0,False,False,7.388799713226035e-05,0.002762922998954309
1755017150,3,40.690626960584126,31.071401485731492,0.7636009520283256,safe,0.0,False,False,7.11920001776889e-05,0.000278729999990901
1755017151,3,1931.4300419719875,1929.760683979046,0.9991356880877564,safe,0.0,,False,8.501099728164263e-05,0.008476990999042755
1755017152,3,127.56424979548491,122.93337030565354,0.9636976700191806,safe,0.0,False,False,7.080800060066395e-05,0.0018174020005972125
1755017153,3,213.64719351404875,203.2295053761519,0.9512388252494793,safe,0.0,False,False,7.084699973347597e-05,0.0021172859997022897
1755017154,3,93.97413018286124,77.37546822601954,0.823369879300368,safe,0.0,False,False,7.147699943743646e-05,0.00013755300096818246
1755017155,3,148.5090643418876,137.50906434188732,0.9259304470824972,safe,0.0,False,False,9.622800280340016e-05,0.0012929139993502758
1755017156,3,1304.0177044237382,1277.3324458718785,0.979536122507131,safe,0.0,False,False,7.648899918422103e-05,0.007310255001357291
1755017157,3,48.92480222397239,46.51644577661389,0.9507743243123742,safe,0.0,False,False,6.286799907684326e-05,5.455700011225417e-05
1755017158,3,35.80044265808486,32.850083784503866,0.9175887599558853,safe,0.0,False,False,7.03229998180177e-05,0.00015567000082228333
1755017159,3,26.919662339430165,25.880404931576898,0.9613941142816257,safe,0.0,False,False,0.00014881600145599805,0.0005036199981987011
1755017160,3,56.000000000000014,46.47124575261269,0.8298436741537978,safe,0.0,,False,6.539600144606084e-05,5.1734001317527145e-05
1755017161,3,104.60474555631544,90.01092137657167,0.8604860219091401,safe,0.0,False,False,0.0001029739978548605,0.00011049200111301616
1755017162,3,135.1552366373332,129.69869263565752,0.9596275798301667,safe,0.0,False,False,5.774599776486866e-05,0.0016160689992830157
1755017163,3,2419.4027393279835,2385.343013260777,0.9859222586163281,safe,0.0,,False,9.036600022227503e-05,0.0002780559989332687
1755017164,3,34.45092672435351,28.413271639240588,0.8247462213884401,safe,0.0,False,False,7.214399738586508e-05,0.0002154260000679642
1755017165,3,1484.8643629271412,1343.9828018782687,0.9051215959071507,safe,0.0,False,False,7.889300104579888e-05,0.016421305997937452
1755017166,3,390.213903247923,283.8713247755892,0.7274761929618666,safe,0.0,False,False,7.778899816912599e-05,0.00029458199787768535
1755017167,3,1192.3277728633614,1147.8328867188397,0.9626823368899077,safe,0.0,False,False,6.829199992353097e-05,0.006337966999126365
1755017168,3,1159.429235428743,1069.0205961113047,0.9220231502235614,safe,0.0,False,False,5.810200309497304e-05,0.0020954810024704784
1755017169,3,17.386674725621685,14.386674725621642,0.8274540677074308,safe,0.0,False,False,0.0001048500016622711,0.00015869900016696192
1755017170,3,488.19352097930243,468.193520979302,0.9590326394338847,safe,0.0,,False,5.833400064148009e-05,0.0001320670016866643
1755017171,3,1499.9066811327057,1458.8360041447404,0.9726178451602406,safe,0.0,False,False,0.00012978800077689812,0.004349604998424184
1755017172,3,1385.053243550693,1191.8133334295992,0.8604819626820207,safe,0.0,False,False,8.416199852945283e-05,0.009220553001796361
1755017173,3,79.57212130872551,64.95679092069255,0.816325992726421,safe,0.0,False,False,0.00010358000145060942,0.000495915999636054
1755017174,3,252.58332325225626,249.47675719040714,0.9877008267139372,safe,0.0,False,False,0.00013652800043928437,0.0021983570004522335
1755017175,3,21.934538656874857,17.322460595339308,0.789734439657795,safe,0.0,False,False,0.00011699300011969171,7.671999992453493e-05
1755017176,3,180.55047377364954,129.19555896702164,0.7155647740309452,safe,0.0,False,False,9.613799920771271e-05,0.00039457700040657073
1755017177,3,389.51473844665236,245.64163729921506,0.6306350262349777,safe,0.0,False,False,8.797700138529763e-05,5.9663998399628326e-05
1755017178,3,23.86938952493676,22.865091749193464,0.9579252844026828,safe,0.0,False,False,0.00019151300148223527,0.0003761059997486882
1755017179,3,28.271827774034705,26.311999318178366,0.9306791031863785,safe,0.0,False,False,0.0001607489975867793,0.0005261100013740361
1755017180,3,153.42009558689466,138.87237182624597,0.9051771953015822,safe,0.0,False,False,0.00010928499978035688,0.0001613749991520308
1755017181,3,1568.723859593294,1367.723859593284,0.871870374909628,safe,0.0,False,False,0.00012424300075508654,0.011790322001616005
