seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755024742,3,502,451,0.898406374501992,safe,0.0,False,False,0.0016733060001570266,3.9106000258470885e-05
1755024743,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.007582178999655298,9.138399946095888e-05
1755024744,3,304,252,0.8289473684210527,safe,0.0,False,False,0.0003651179995358689,2.7509000574355014e-05
1755024745,3,222,211,0.9504504504504504,safe,0.0,False,False,0.0009765360009623691,3.34270007442683e-05
1755024746,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00011799999992945231,3.1094999940251e-05
1755024747,3,320,260,0.8125,safe,0.0,False,False,0.0001638449994061375,3.572499917936511e-05
1755024748,3,2140,2080,0.9719626168224299,safe,0.0,False,False,0.0006718000004184432,3.759800165425986e-05
1755024749,3,2202,2101,0.9541326067211626,safe,0.0,False,False,0.011477816999104107,6.453199966927059e-05
1755024750,3,2200,2100,0.9545454545454546,safe,0.0,False,False,0.00034271900040039327,3.5261000448372215e-05
1755024751,3,80,61,0.7625,safe,0.0,,False,0.0002222240000264719,3.412300065974705e-05
1755024752,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.0021018970001023263,3.819599987764377e-05
1755024753,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.008761245000641793,4.248200093570631e-05
1755024754,3,450,425,0.9444444444444444,safe,0.0,False,False,0.0004369670004962245,3.058000038436148e-05
1755024755,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0015429289996973239,3.428199852351099e-05
1755024756,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0005728059986722656,3.088199991907459e-05
1755024757,3,800,700,0.875,safe,0.0,,False,7.221899977594148e-05,2.9287999495863914e-05
1755024758,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.005712137999580591,4.1152999983751215e-05
1755024759,3,422,411,0.9739336492890995,safe,0.0,False,False,0.002425747999950545,3.588099934859201e-05
1755024760,3,106,103,0.9716981132075472,safe,0.0,False,False,0.0005982030015729833,3.5630999263958074e-05
1755024761,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0002963499991892604,3.113500133622438e-05
1755024762,3,440,420,0.9545454545454546,safe,0.0,False,False,0.00031386000046040863,3.1288000172935426e-05
1755024763,3,260,230,0.8846153846153846,safe,0.0,False,False,7.412700142594986e-05,1.9840999812004156e-05
1755024764,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.0019907739988411777,4.128500040678773e-05
1755024765,3,2006,2003,0.9985044865403788,safe,0.0,False,False,0.13377551800112997,5.697699998563621e-05
1755024766,3,160,155,0.96875,safe,0.0,False,False,0.00011286500011919998,2.912800118792802e-05
1755024767,3,112,106,0.9464285714285714,safe,0.0,False,False,0.00044973699914407916,3.058900074393023e-05
1755024768,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.026220783998724073,4.134899972996209e-05
1755024769,3,26,23,0.8846153846153846,safe,0.0,False,False,0.00011496600018290337,2.813299943227321e-05
1755024770,3,304,302,0.993421052631579,safe,0.0,,False,0.0002902899996115593,3.159300104016438e-05
1755024771,3,422,411,0.9739336492890995,safe,0.0,False,False,0.001629020000109449,2.938599936896935e-05
1755024772,3,260,230,0.8846153846153846,safe,0.0,False,False,0.00011756900130421855,2.6802999855135567e-05
1755024773,3,8,7,0.875,safe,0.0,,False,3.492199903121218e-05,1.9544999304343946e-05
1755024774,3,130,115,0.8846153846153846,safe,0.0,False,False,0.00011316400014038663,2.8608999855350703e-05
1755024775,3,320,260,0.8125,safe,0.0,False,False,0.00010264199954690412,3.4998000046471134e-05
1755024776,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.007377489999271347,4.253899896866642e-05
1755024777,3,142,131,0.9225352112676056,safe,0.0,False,False,0.0007816369998181472,3.096899854426738e-05
1755024778,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0007926750004116911,3.525200008880347e-05
1755024779,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.02153575200100022,4.647399873647373e-05
1755024780,3,350,300,0.8571428571428571,safe,0.0,False,False,5.268900167720858e-05,2.517600114515517e-05
1755024781,3,602,501,0.8322259136212624,safe,0.0,False,False,0.001048129999617231,2.6716999855125323e-05
1755024782,3,122,111,0.9098360655737705,safe,0.0,False,False,0.00035135600046487525,2.9852000807295553e-05
1755024783,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.007212329001049511,3.306700091343373e-05
1755024784,3,115,110,0.9565217391304348,safe,0.0,False,False,8.825899931252934e-05,1.9888000679202378e-05
1755024785,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.00037847000021429267,3.3321999580948614e-05
1755024786,3,130,115,0.8846153846153846,safe,0.0,False,False,0.00011308800094411708,2.6468000214663334e-05
1755024787,3,20,16,0.8,safe,0.0,,False,0.00011549400005606003,3.146500057482626e-05
1755024788,3,800,700,0.875,safe,0.0,,False,0.00013553900134866126,6.685799962724559e-05
1755024789,3,200,200,1.0,safe,0.0,,False,5.0628999815671705e-05,2.9015000109211542e-05
1755024790,3,70,60,0.8571428571428571,safe,0.0,False,False,7.038500007183757e-05,1.8766999346553348e-05
1755024791,3,160,140,0.875,safe,0.0,False,False,0.00014338199980556965,3.21809984598076e-05
1755024792,3,2500,2250,0.9,safe,0.0,False,False,0.0002459899988025427,3.089199890382588e-05
1755024793,3,450,425,0.9444444444444444,safe,0.0,False,False,0.0003764770008274354,2.6780000553117134e-05
1755024794,3,640,520,0.8125,safe,0.0,False,False,0.00013025199950789101,3.1076000595930964e-05
1755024795,3,114,108,0.9473684210526315,safe,0.0,False,False,0.00026931600041280035,2.947300163214095e-05
1755024796,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.0022194029988895636,4.7547000576741993e-05
1755024797,3,230,220,0.9565217391304348,safe,0.0,False,False,0.006302834999587503,4.985100167687051e-05
1755024798,3,208,204,0.9807692307692307,safe,0.0,False,False,0.0008225640012824442,3.278800068073906e-05
1755024799,3,54,48,0.8888888888888888,safe,0.0,False,False,0.00010183999984292313,2.658199991856236e-05
1755024800,3,16,14,0.875,safe,0.0,False,False,0.00011532700045790989,2.9537000955315307e-05
1755024801,3,602,501,0.8322259136212624,safe,0.0,False,False,0.00106872699871019,2.8861000828328542e-05
1755024802,3,8,6,0.75,safe,0.0,False,False,6.512100117106456e-05,2.5367000489495695e-05
1755024803,3,403,402,0.9975186104218362,safe,0.0,False,False,0.00798936699902697,6.240000038815197e-05
1755024804,3,602,501,0.8322259136212624,safe,0.0,False,False,0.0015562620010314276,3.300699972896837e-05
1755024805,3,444,422,0.9504504504504504,safe,0.0,False,False,0.0012250180006958544,7.528500100306701e-05
1755024806,3,52,46,0.8846153846153846,safe,0.0,False,False,0.00025935999838111456,5.651399987982586e-05
