seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016059,5,0.02,408.04,358.01135872947816,0.8773928015132785,safe,0.3,0.13
1755016060,5,0.02,430.25999999999993,425.0514292063453,0.98789436435259,safe,0.3,0.13
1755016061,5,0.02,0.0,844.054589851093,,,0.3,0.13
1755016062,5,0.02,0.0,3215.9521735172675,,,0.3,0.13
1755016063,5,0.02,531.26,491.8037147070954,0.9257307433405404,safe,0.3,0.13
1755016064,5,0.02,575.7,506.1699566065327,0.8792252155750089,safe,0.3,0.13
1755016065,5,0.02,0.0,2353.645668270581,,,0.3,0.13
1755016066,5,0.02,426.22,386.8896736386369,0.907722945048653,safe,0.3,0.13
1755016067,5,0.02,2244.22,2195.6754236048246,0.978369065245308,safe,0.2,0.13
1755016068,5,0.02,593.24,569.1767680202684,0.959437610444792,safe,0.2,0.13
1755016069,5,0.02,2191.7,2135.1412872508326,0.974194135716947,safe,0.2,0.13
1755016070,5,0.02,3070.4,2741.7657919708813,0.892966972371965,safe,0.2,0.13
1755016071,5,0.02,1092.04,1004.0354615081014,0.9194127152010012,safe,0.2,0.13
1755016072,5,0.02,457.8200000000001,449.3302323099852,0.9814561013280004,safe,0.2,0.13
1755016073,5,0.02,2458.34,2261.8994050972337,0.9200921780946628,safe,0.2,0.13
1755016074,5,0.02,0.0,652.3654222461046,,,0.2,0.13
1755016075,5,0.02,365.62,344.09176273458536,0.9411185458524844,safe,0.2,0.13
1755016076,5,0.02,0.0,939.9627243997228,,,0.2,0.13
1755016077,5,0.02,2828.0,2598.938268733007,0.9190022166665514,safe,0.1,0.13
1755016078,5,0.02,0.0,684.0839399033866,,,0.1,0.13
1755016079,5,0.02,2488.64,2358.07849102224,0.9475370045576056,safe,0.1,0.13
1755016080,5,0.02,173.72000000000003,164.06086010121362,0.9443982276146304,safe,0.1,0.13
1755016081,5,0.02,2106.86,1971.3739879455748,0.935692921193423,safe,0.1,0.13
1755016082,5,0.02,466.62,452.0577270725464,0.9687920086420352,safe,0.1,0.13
1755016083,5,0.02,77.74000000000001,74.12822582597107,0.9535403373549146,safe,0.1,0.13
1755016084,5,0.02,2468.44,2397.166961934201,0.9711262829698925,safe,0.1,0.13
1755016085,5,0.02,2086.66,2072.289061541606,0.9931129467865422,safe,0.1,0.13
