seeds,num_tasks,final_e2e_max,ic,R,exceed,false_percentage,adjusted,inserted,run_time_our,run_time_G,finalpercent
1755025387,10,1187.0588717448722,1119.3234244021496,0.9429384262609002,safe,0.0,False,False,0.0001801089965738,0.6857661179965362,0.0
1755025386,10,1355.5889898036542,1131.5823819116104,0.8347532994314971,safe,0.0,False,False,0.0003030620282515,0.570552464982029,0.0
1755025385,10,724.2804723493452,686.4778925612877,0.9478067113069644,safe,0.0,,False,5.820195656269789e-05,0.0114543900126591,0.0
1755025384,10,1625.8403579255344,1347.5446320372862,0.8288296113873472,safe,0.0,False,False,0.0002109549823217,0.1337086880230344,0.0
1755025383,10,1392.427858423579,1156.8065569427315,0.8307838355463506,safe,0.0,False,False,0.0002714789588935,1.1683276109979488,0.0
1755025381,10,1401.6223049623973,1096.2441300231085,0.7821252031605749,safe,0.0,False,False,0.0001889769919216,0.7074085240019485,0.0
1755025410,10,1541.1616530862066,1394.6159661631143,0.904912189691697,safe,0.0,,False,0.0001946319825947,0.8849505790276453,0.0
1755025350,10,1567.5048032686896,1386.593296658065,0.8845863143555456,safe,0.0,False,False,5.8157951571047306e-05,0.4799200629931874,0.0
1755025348,10,1428.4596950531077,1354.976419518753,0.9485576836442536,safe,0.0,False,False,0.0002172790118493,1.2533552970271558,0.0
1755025316,10,172.01783637927613,120.48197030521531,0.7004039397377888,safe,0.0,False,False,0.0005393309984356,0.0166427330113947,0.0
1755025315,10,1509.9373938879182,1385.3862915106376,0.9175124062219722,safe,0.0,False,False,0.0001125069684349,0.0419409339665435,0.0
1755025314,10,559.5457515250678,458.60353387877126,0.8195997067779107,safe,0.0,,False,0.0001086929696612,0.0126358140259981,0.0
1755025313,10,1534.3858134541545,1357.793242606762,0.884909929889241,safe,0.0,False,False,0.0003654140164144,1.256411820999347,0.0
1755025312,10,1749.6969024249422,1531.966626945794,0.8755611470893094,safe,0.0,False,False,0.0001495300093665,0.8033679720247164,0.0
1755025311,10,78.3340250794655,54.87107697788579,0.7004756479987099,safe,0.0,,False,0.0001517059863545,0.0005778910126537,0.0
1755025310,10,2311.060438765653,2147.9414121733653,0.929418104409502,safe,0.0,,False,0.0003803269937634,0.0472367919865064,0.0
1755025309,10,3421.064001570073,3272.64187861376,0.9566152159421174,safe,0.0,,False,0.0005095729720778,0.576889157993719,0.0
1755025308,10,2158.923621978052,1970.9971571476708,0.9129536298008548,safe,0.0,,False,0.000254081969615,0.6618578000343405,0.0
1755025307,10,1721.1426360760984,1478.6761872740803,0.8591247211475751,safe,0.0,False,False,0.0001050159917213,0.3355996679747477,0.0
1755025306,10,2321.7070224325653,2253.691028145701,0.9707043164233526,safe,0.0,,False,0.0001016260357573,0.4249403429566882,0.0
1755025305,10,119.17304380630269,90.76616318477384,0.7616333382597844,safe,0.0,False,False,0.0005875380011275,0.0106879640370607,0.0
1755025304,10,2087.546199628071,1954.345585621764,0.9361927347859228,safe,0.0,,False,0.0002096490352414,0.440942294022534,0.0
1755025303,10,2482.398305003975,2252.9195405684154,0.9075576373167108,safe,0.0,,False,0.0002063100109808,1.02505244204076,0.0
1755025302,10,249.1742031074216,189.7965249350352,0.7617021447971156,safe,0.0,,False,0.0002063169959001,0.0147950869868509,0.0
1755025301,10,1387.549236654272,1228.8286815445963,0.8856108663268841,safe,0.0,False,False,0.0004032530123367,0.0140234529972076,0.0
1755025300,10,1288.492638689645,1257.7477905906612,0.9761389027955564,safe,0.0,False,False,0.000229445984587,0.7085242950124666,0.0
1755025299,10,1214.8707374944595,1159.3741960002576,0.954318974207365,safe,0.0,False,False,0.0003932539839297,1.4009707699879073,0.0
1755025298,10,1539.6232679783625,1336.707184226026,0.8682040678569506,safe,0.0,False,False,0.0001111680176109,0.664413977006916,0.0
1755025297,10,1627.1131583662464,1490.8021277457633,0.916225229991164,safe,0.0,False,False,0.0001336319837719,0.8933138080174103,0.0
1755025296,10,1569.3308313445864,1345.703001284669,0.8575011555286176,safe,0.0,False,False,0.0001794059644453,1.186919893021695,0.0
1755025295,10,2157.767139845448,1231.9704271866854,0.5709468850632912,safe,0.0,True,False,0.0068049489636905,2.667664573004004,0.0
1755025294,10,1840.313869102956,1559.9950344932088,0.8476787903867803,safe,0.0,,False,0.0001177529920823,0.2167848800309002,0.0
1755025293,10,550.7724938280861,487.6846025580539,0.8854556246417709,safe,0.0,,False,0.0001140770036727,0.0222528930171392,0.0
1755025292,10,452.8251218748213,343.26187646440405,0.7580451257721853,safe,0.0,False,False,0.00011095701484,0.0097521050483919,0.0
1755025291,10,1485.1481152102408,1236.591228432226,0.8326383178671519,safe,0.0,False,False,0.0002005929709412,1.5145741590531543,0.0
1755025290,10,748.5862592247258,491.5898984591285,0.6566910525024118,safe,0.0,True,False,0.0008778139599598,0.0315212510176934,0.0
1755025317,10,2445.170945463542,2149.531326878663,0.8790924539924823,safe,0.0,,False,0.000810514029581,0.0522991030011326,0.0
1755025349,10,1562.9775602605316,1488.2121351803846,0.9521647482464916,safe,0.0,,False,0.0001613890053704,0.912774364987854,0.0
1755025318,10,1329.8848511422268,1253.4767658827,0.9425453375200864,safe,0.0,False,False,0.0001364190247841,0.9640597149846144,0.0
1755025320,10,502.8762293490464,400.834092054134,0.797082997088564,safe,0.0,False,False,8.834898471832275e-05,0.0081129869795404,0.0
