seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016141,8,2630.0,2395,0.9106463878326996,safe,0.029,False,False,0.00422440499824,3.5052999010076746e-05,0.0421
1755016142,8,3544.0,3282,0.9260722347629796,safe,0.029,False,False,0.0992763180001929,3.468999784672633e-05,0.0421
1755016143,8,2658.0,2330,0.8765989465763732,safe,0.029,False,False,0.073640565999085,8.163600068655796e-05,0.0421
1755016144,8,3154.0,2588,0.8205453392517438,safe,0.029,False,False,0.030346441999427,8.489399988320656e-05,0.0421
1755016145,8,870.0,735,0.8448275862068966,safe,0.029,False,False,0.0088513010014139,0.000805997999123,0.0421
1755016146,8,2366.0,2183,0.922654268808115,safe,0.029,False,False,0.1579365050019987,7.973600077093579e-05,0.0421
1755016147,8,394.0,347,0.8807106598984772,safe,0.029,False,False,0.0030365790007635,6.48380009806715e-05,0.0421
1755016148,8,5400.0,4415,0.8175925925925925,safe,0.029,,False,0.0069565550002153,6.966100045247003e-05,0.0421
1755016149,8,794.0,607,0.7644836272040302,safe,0.029,False,False,0.0099386559995764,6.659499922534451e-05,0.0421
1755016150,8,4058.0,3090,0.7614588467225234,safe,0.029,,False,0.3370268610015046,7.897099931142293e-05,0.0421
1755016151,8,1410.0,936,0.6638297872340425,safe,0.029,,False,0.0044691049988614,6.027999916113913e-05,0.0421
1755016152,8,0.0,864,,,0.029,False,False,0.0030662899989692,0.0006510189996333,0.0421
1755016153,8,846.0,723,0.8546099290780141,safe,0.029,False,False,0.0152398380014346,0.0008569329984311,0.0421
1755016154,8,2322.0,2162,0.9310938845822568,safe,0.029,False,False,0.4208350720000453,6.756799848517403e-05,0.0421
1755016155,8,370.0,295,0.7972972972972973,safe,0.029,False,False,0.003023868001037,5.672099723597057e-05,0.0421
1755016156,8,4260.0,3136,0.7361502347417841,safe,0.029,False,False,0.125278867999441,6.950100214453414e-05,0.0421
1755016157,8,2070.0,2035,0.9830917874396136,safe,0.029,False,False,0.5577868369982752,6.981000115047209e-05,0.0421
1755016158,8,2404.0,2212,0.9201331114808652,safe,0.029,False,False,0.2408160509985464,6.763100100215524e-05,0.0421
1755016159,8,166.0,133,0.8012048192771084,safe,0.029,False,False,0.0014317519999167,7.182500121416524e-05,0.0421
1755016160,8,2588.0,2304,0.8902627511591963,safe,0.029,False,False,0.0755208230002608,6.233300155145116e-05,0.0421
1755016161,8,2650.0,2350,0.8867924528301887,safe,0.029,False,False,0.00634000500213,6.610700074816123e-05,0.0421
1755016162,8,2652.0,2326,0.8770739064856712,safe,0.029,False,False,0.0657344329993065,6.791600026190281e-05,0.0421
1755016163,8,408.0,310,0.7598039215686274,safe,0.029,False,False,0.0019699370022863,5.806199988001026e-05,0.0421
1755016164,8,1030.0,730,0.7087378640776699,safe,0.029,False,False,0.0010196849980275,5.611699816654436e-05,0.0421
1755016165,8,3120.0,2560,0.8205128205128205,safe,0.029,False,False,0.0049739010028133,6.078900332795456e-05,0.0421
1755016166,8,3824.0,3412,0.8922594142259415,safe,0.029,False,False,0.2225401469986536,6.880399814690463e-05,0.0421
1755016167,8,3000.0,2510,0.8366666666666667,safe,0.029,False,False,0.0038704229991708,6.082900290493853e-05,0.0421
1755016168,8,693.0,544,0.784992784992785,safe,0.029,False,True,0.0041974499981733,9.090599996852688e-05,0.0421
1755016169,8,2590.0,2320,0.8957528957528957,safe,0.029,False,False,0.0147229629983485,6.224900062079541e-05,0.0421
1755016170,8,5424.0,4218,0.7776548672566371,safe,0.029,False,False,0.0582730109999829,6.674800170003437e-05,0.0421
1755016171,8,646.0,527,0.8157894736842105,safe,0.029,False,False,0.0112469030027568,6.072600081097335e-05,0.0421
1755016172,8,4650.0,3335,0.7172043010752688,safe,0.029,False,False,0.0087134660025185,6.0881000536028296e-05,0.0421
1755016173,8,4846.0,3433,0.7084193148988857,safe,0.029,False,False,0.1314166619995376,7.274900053744204e-05,0.0421
1755016174,8,2802.0,2429,0.8668807994289793,safe,0.029,False,False,0.1738560909980151,7.399599780910648e-05,0.0421
1755016175,8,2528.0,2264,0.8955696202531646,safe,0.029,False,False,0.3169387509988155,7.304699829546735e-05,0.0421
1755016176,8,1012.0,736,0.7272727272727273,safe,0.029,,False,0.004693484002928,6.471899905591272e-05,0.0421
1755016177,8,400.0,351,0.8775,safe,0.029,False,False,0.0028600539990293,5.793799937237054e-05,0.0421
1755016178,8,116.0,79,0.6810344827586207,safe,0.029,False,False,0.0004316769991419,5.524500011233613e-05,0.0421
1755016179,8,2214.0,2117,0.9561878952122854,safe,0.029,False,False,0.2721403989999089,7.04099984432105e-05,0.0421
1755016180,8,2312.0,2156,0.9325259515570934,safe,0.029,False,False,0.1076937850011745,6.7378998210188e-05,0.0421
1755016181,8,494.0,347,0.7024291497975709,safe,0.029,False,False,0.0028773580015695,5.7082001148955896e-05,0.0421
1755016182,8,3014.0,2532,0.8400796284007963,safe,0.029,False,False,0.0461442810010339,6.472099994425662e-05,0.0421
1755016183,8,5020.0,3516,0.700398406374502,safe,0.029,False,False,0.0668508580019988,6.477499846369028e-05,0.0421
1755016184,8,2780.0,2400,0.8633093525179856,safe,0.029,False,False,0.0047845629997027,6.230900180526078e-05,0.0421
1755016185,8,1200.0,918,0.765,safe,0.029,,False,0.0022027109989721,5.8829999034060165e-05,0.0421
1755016186,8,4004.0,3124,0.7802197802197802,safe,0.029,False,False,0.5913664250001602,7.108299905667081e-05,0.0421
1755016187,8,4214.0,3412,0.8096820123398196,safe,0.029,,False,0.0427737589998287,6.639900311711244e-05,0.0421
1755016188,8,6002.0,4053,0.6752749083638787,safe,0.029,,False,0.1390519519991357,6.995299918344244e-05,0.0421
1755016189,8,2668.0,2334,0.8748125937031485,safe,0.029,False,False,0.0689249669994751,6.168099935166538e-05,0.0421
1755016190,8,2230.0,2117,0.9493273542600896,safe,0.029,False,False,0.3594988279983226,7.040499986032955e-05,0.0421
1755016191,8,2272.0,2136,0.9401408450704224,safe,0.029,False,False,0.1383476749979308,6.844299787189811e-05,0.0421
1755016192,8,1160.0,980,0.8448275862068966,safe,0.029,False,False,0.0004330160008976,6.002100053592585e-05,0.0421
1755016193,8,1342.0,921,0.6862891207153502,safe,0.029,False,False,0.0035898949972761,6.054400000721216e-05,0.0421
1755016194,8,0.0,3223,,,0.029,False,False,0.1220863730013661,0.0003572169989638,0.0421
1755016195,8,2942.0,2471,0.8399048266485384,safe,0.029,False,False,0.0574060670005565,6.466899867518805e-05,0.0421
