seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
1750690896,3,0.4,3878.1713275240204,3666.773811967882,0.9454904134699219,safe,0.9,1.0
1750690897,3,0.4,0,2638.2244269716916,,,0.9,1.0
1750690898,3,0.4,0,4681.385658185933,,,0.9,1.0
1750690899,3,0.4,0,3526.99647520517,,,0.9,1.0
1750690900,3,0.4,0,4059.356863040506,,,0.9,1.0
1750690901,3,0.4,0,5620.2797556819805,,,0.9,1.0
1750690892,3,0.5,0,1854.6760896965764,,,1.0,1.0
1750690893,3,0.5,0,3260.761833714289,,,1.0,1.0
1750690894,3,0.5,0,2840.7518690076067,,,1.0,1.0
1750690895,3,0.5,0,4716.778290812446,,,1.0,1.0
1750690896,3,0.5,0,3820.489766705267,,,1.0,1.0
1750690897,3,0.5,0,3038.0392620503276,,,1.0,1.0
1750690898,3,0.5,0,4779.545597570588,,,1.0,1.0
