seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016085,10,0.0,2790.0,1900.486002363844,0.6811777786250337,safe,0.27,0.229,0.229,0.229
1755016086,10,0.0,3032.633420538945,2466.231649836505,0.8132310463683469,safe,0.27,0.229,0.229,0.229
1755016087,10,0.0,4374.549848087232,3517.940381948229,0.8041834026617494,safe,0.27,0.229,0.229,0.229
1755016088,10,0.0,0.0,535.4797679262009,,,0.27,0.229,0.229,0.229
1755016089,10,0.0,2992.0,2142.5329072213044,0.7160872016113985,safe,0.27,0.229,0.229,0.229
1755016090,10,0.0,0.0,1811.3938964549309,,,0.27,0.229,0.229,0.229
1755016091,10,0.0,2838.0,2664.231690236499,0.9387708563201196,safe,0.27,0.229,0.229,0.229
1755016092,10,0.0,2924.0,2395.4244455343296,0.8192286065438884,safe,0.27,0.229,0.229,0.229
1755016093,10,0.0,0.0,735.8584819626317,,,0.27,0.229,0.229,0.229
1755016094,10,0.0,6254.548557951385,5989.55359895691,0.9576316409507144,safe,0.27,0.229,0.229,0.229
1755016095,10,0.0,0.0,433.85587726023954,,,0.27,0.229,0.229,0.229
1755016096,10,0.0,2782.0,2083.0086318753924,0.7487450150522619,safe,0.27,0.229,0.229,0.229
1755016097,10,0.0,664.0,600.5177446546776,0.9043941937570446,safe,0.27,0.229,0.229,0.229
1755016098,10,0.0,2762.0,2326.717009001989,0.8424029721223711,safe,0.27,0.229,0.229,0.229
1755016099,10,0.0,3774.0,3421.249309731258,0.906531348630434,safe,0.27,0.229,0.229,0.229
1755016100,10,0.0,5185.80870902913,4752.718174604776,0.9164854396441022,safe,0.27,0.229,0.229,0.229
1755016101,10,0.0,6691.540989491048,6432.550169076666,0.9612957880970732,safe,0.27,0.229,0.229,0.229
1755016102,10,0.0,3909.053609618162,3508.384427092491,0.8975022543717919,safe,0.27,0.229,0.229,0.229
1755016103,10,0.0,2719.4806187912045,2485.678943958343,0.9140270854598754,safe,0.27,0.229,0.229,0.229
1755016104,10,0.0,0.0,853.2531253495879,,,0.27,0.229,0.229,0.229
1755016105,10,0.0,2712.0,1754.731853585499,0.6470250197586649,safe,0.27,0.229,0.229,0.229
1755016106,10,0.0,0.0,1865.5560034808527,,,0.27,0.229,0.229,0.229
1755016107,10,0.0,0.0,1568.4678003788486,,,0.27,0.229,0.229,0.229
1755016108,10,0.0,3833.810375919864,3302.974339431635,0.8615382649537373,safe,0.27,0.229,0.229,0.229
1755016109,10,0.0,3994.191969998096,3876.4709805125367,0.9705269575499108,safe,0.27,0.229,0.229,0.229
1755016010,10,0.02,0.0,3047.36661514948,,,0.31,0.279,0.279,0.279
1755016011,10,0.02,0.0,3296.9153067782945,,,0.31,0.279,0.279,0.279
