seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016088,3,0.2,2684.0,2556.5313525717065,0.9525079555036164,safe,0.12,0.135,0.135,0.135
1755016089,3,0.2,2662.0,2523.1323895607784,0.9478333544555892,safe,0.12,0.135,0.135,0.135
1755016090,3,0.2,365.0885316137546,364.13043341095727,0.9973757099447568,safe,0.12,0.135,0.135,0.135
1755016091,3,0.2,2684.0,2607.1316766965465,0.9713605352818728,safe,0.12,0.135,0.135,0.135
1755016092,3,0.2,455.4,433.9549133811309,0.9529093398795144,safe,0.12,0.135,0.135,0.135
1755016093,3,0.2,2684.0,2508.6981285735383,0.9346863370244182,safe,0.12,0.135,0.135,0.135
1755016094,3,0.2,2226.4,2161.981147606677,0.9710659125074907,safe,0.12,0.135,0.135,0.135
1755016095,3,0.2,0.0,4244.832374957827,,,0.12,0.135,0.135,0.135
1755016096,3,0.2,2662.0,2422.385358345984,0.9099869866063052,safe,0.12,0.135,0.135,0.135
1755016097,3,0.2,2248.4,2144.7669929804115,0.9539081093134724,safe,0.12,0.135,0.135,0.135
1755016098,3,0.2,0.0,4140.914729824838,,,0.12,0.135,0.135,0.135
1755016099,3,0.2,561.0,524.7499882223419,0.9353832232127308,safe,0.12,0.135,0.135,0.135
1755016100,3,0.2,2442.0,2328.7075309182983,0.9536066875177308,safe,0.12,0.135,0.135,0.135
1755016101,3,0.2,0.0,92.5394771570542,,,0.12,0.135,0.135,0.135
1755016102,3,0.2,2332.0,2242.910581923097,0.9617969905330606,safe,0.12,0.135,0.135,0.135
1755016103,3,0.2,2244.0,2216.263095356495,0.9876395255599352,safe,0.12,0.135,0.135,0.135
1755016104,3,0.2,552.2,513.0024096904673,0.929015591616203,safe,0.12,0.135,0.135,0.135
1755016105,3,0.2,446.6000000000001,430.53492575804654,0.9640280469280036,safe,0.12,0.135,0.135,0.135
1755016106,3,0.2,3542.5821435885823,3527.376826589403,0.995707843493002,safe,0.12,0.135,0.135,0.135
1755016107,3,0.2,455.4,430.7688524879664,0.9459131587351038,safe,0.12,0.135,0.135,0.135
1755016108,3,0.2,561.0,524.259948427105,0.9345097119912744,safe,0.12,0.135,0.135,0.135
1755016109,3,0.2,0.0,2962.6314936477866,,,0.12,0.135,0.135,0.135
