seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016068,5,0.0,2307.702261910025,1594.0284629239866,0.690742687752384,safe,0.04,False,False,0.014,0.014,0.014
1755016069,5,0.0,859.602994577888,637.7410279422704,0.7419018220794311,safe,0.04,False,False,0.014,0.014,0.014
1755016070,5,0.0,3699.833643437072,3188.8197283299023,0.8618819210929581,safe,0.04,False,False,0.014,0.014,0.014
1755016071,5,0.0,967.67335726223,848.8890515530672,0.8772475186820986,safe,0.04,False,False,0.014,0.014,0.014
1755016072,5,0.0,611.6050209255021,541.7669476721001,0.8858118052273007,safe,0.04,False,False,0.014,0.014,0.014
1755016073,5,0.0,2234.0,1344.488300180348,0.6018300358909346,safe,0.04,False,False,0.014,0.014,0.014
1755016074,5,0.0,2051.82188943244,1620.6144414596004,0.7898416767100008,safe,0.04,False,False,0.014,0.014,0.014
1755016075,5,0.0,247.90002619219825,234.8064159363356,0.9471818924064532,safe,0.04,False,False,0.014,0.014,0.014
1755016076,5,0.0,3723.280383340359,3551.9060970654696,0.9539722318411216,safe,0.04,False,False,0.014,0.014,0.014
1755016077,5,0.0,225.4181517330464,225.4181517330464,1.0,safe,0.04,,False,0.014,0.014,0.014
1755016078,5,0.0,84.0,75.42338914875494,0.8978974898661302,safe,0.04,False,False,0.014,0.014,0.014
1755016079,5,0.0,234.0,217.75809024295108,0.9305901292433808,safe,0.04,False,False,0.014,0.014,0.014
1755016080,5,0.0,810.0,665.5571229760803,0.8216754604642967,safe,0.04,False,False,0.014,0.014,0.014
1755016081,5,0.0,0.0,71.82802665031997,,,0.04,False,False,0.014,0.014,0.014
1755016082,5,0.0,614.0,529.6610940604057,0.8626402183394231,safe,0.04,False,False,0.014,0.014,0.014
1755016083,5,0.0,2264.0,1534.3863929858016,0.6777325057357781,safe,0.04,False,False,0.014,0.014,0.014
1755016084,5,0.0,2216.0,1855.0165455446856,0.837101329216916,safe,0.04,False,False,0.014,0.014,0.014
1755016085,5,0.0,0.0,568.9191826564197,,,0.04,False,False,0.014,0.014,0.014
1755016086,5,0.0,2252.0,2227.202136837882,0.9889885154697522,safe,0.04,False,False,0.014,0.014,0.014
1755016087,5,0.0,3955.632029545584,3794.286834983082,0.9592112731019024,safe,0.04,,False,0.014,0.014,0.014
1755016088,5,0.0,2344.0,1931.3863566370408,0.8239702886676797,safe,0.04,False,False,0.014,0.014,0.014
1755016089,5,0.0,2214.0,1201.4627214487682,0.5426660891819188,safe,0.04,False,False,0.014,0.014,0.014
1755016090,5,0.0,4177.380654246884,4090.133363798933,0.9791143547430248,safe,0.04,False,False,0.014,0.014,0.014
1755016091,5,0.0,608.0,598.7083373831811,0.9847176601697056,safe,0.04,False,False,0.014,0.014,0.014
1755016092,5,0.0,2380.0,1630.6964861756635,0.6851665908301107,safe,0.04,False,False,0.014,0.014,0.014
1755016093,5,0.0,456.0,373.2315357552931,0.8184902099896779,safe,0.04,False,False,0.014,0.014,0.014
1755016094,5,0.0,2170.0,2029.972129566799,0.9354710274501375,safe,0.04,False,False,0.014,0.014,0.014
1755016095,5,0.0,750.0,653.111359453186,0.8708151459375812,safe,0.04,False,False,0.014,0.014,0.014
1755016096,5,0.0,4586.215360366348,4162.679869333278,0.9076503265212476,safe,0.04,False,False,0.014,0.014,0.014
1755016097,5,0.0,760.084518041733,760.084518041733,1.0,safe,0.04,,False,0.014,0.014,0.014
1755016098,5,0.0,272.0,243.68492751260123,0.8959004687963281,safe,0.04,False,False,0.014,0.014,0.014
1755016099,5,0.0,2072.0,1862.2083263188224,0.898749192238814,safe,0.04,False,False,0.014,0.014,0.014
1755016100,5,0.0,944.464990027598,882.6688049745119,0.9345701686080704,safe,0.04,False,False,0.014,0.014,0.014
1755016101,5,0.0,2452.0,1963.2251586958905,0.8006627890276877,safe,0.04,False,False,0.014,0.014,0.014
1755016102,5,0.0,2622.0,2482.5649053662746,0.9468210928170384,safe,0.04,False,False,0.014,0.014,0.014
1755016103,5,0.0,156.0,146.59612205316284,0.9397187311100182,safe,0.04,False,False,0.014,0.014,0.014
1755016104,5,0.0,2448.0,2217.061145334176,0.90566223257115,safe,0.04,False,False,0.014,0.014,0.014
1755016105,5,0.0,714.0,577.7285383937337,0.8091436111957055,safe,0.04,False,False,0.014,0.014,0.014
1755016106,5,0.0,438.0,365.86740943151386,0.8353137201632737,safe,0.04,False,False,0.014,0.014,0.014
1755016107,5,0.0,910.0,649.1730620039755,0.7133769912131599,safe,0.04,False,False,0.014,0.014,0.014
