seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755022001,3,304,252,0.8289473684210527,safe,0.0,3.1262985430657864e-05,0.0002920000115409,0.0
1755022000,3,3040,3020,0.993421052631579,safe,0.0,3.6605983041226864e-05,0.0003457750426605,0.0
1755021999,3,2404,2202,0.9159733777038268,safe,0.0,3.042997559532523e-05,0.0070859430124983,0.0
1755022008,3,412,406,0.9854368932038836,safe,0.0,2.4135981220752e-05,0.0022198320366442,0.0
1755019007,3,40,35,0.875,safe,0.0,3.274198388680816e-05,5.335098830983043e-05,0.0
1755019006,3,70,55,0.7857142857142857,safe,0.0,3.645499236881733e-05,6.980699254199862e-05,0.0
1755019005,3,64,52,0.8125,safe,0.0,3.572297282516956e-05,0.000118171039503,0.0
1755018939,3,2006,2003,0.9985044865403788,safe,0.0,3.795698285102844e-05,0.2156124309985898,0.0
1755018940,3,54,48,0.8888888888888888,safe,0.0,3.406195901334286e-05,0.0001168969902209,0.0
1755018941,3,112,106,0.9464285714285714,safe,0.0,4.049902781844139e-05,0.0004861560300923,0.0
1755018942,3,412,406,0.9854368932038836,safe,0.0,2.806197153404355e-05,0.003126824973151,0.0
1755018943,3,160,150,0.9375,safe,0.0,3.750796895474196e-05,8.278299355879426e-05,0.0
1755018944,3,64,52,0.8125,safe,0.0,3.294495400041342e-05,0.0001202609855681,0.0
1755018945,3,46,43,0.9347826086956522,safe,0.0,3.559398464858532e-05,0.0002182490425184,0.0
1755018946,3,200,152,0.76,safe,0.0,3.650999860838056e-05,0.0002272839774377,0.0
1755018947,3,2300,2150,0.9347826086956522,safe,0.0,3.7390971556305885e-05,0.0002649119705893,0.0
1755018948,3,400,400,1.0,safe,0.0,3.525399370118976e-05,5.186599446460605e-05,0.0
1755018949,3,3004,3002,0.9993342210386152,safe,0.0,3.7555990274995565e-05,0.0042261189664714,0.0
1755018950,3,2044,2022,0.9892367906066536,safe,0.0,3.483000909909606e-05,0.0109832909656688,0.0
1755018951,3,144,132,0.9166666666666666,safe,0.0,3.338296664878726e-05,0.0004303280147723,0.0
1755018952,3,2440,2220,0.9098360655737704,safe,0.0,3.20389517582953e-05,0.0004688229528255,0.0
1755018953,3,800,650,0.8125,safe,0.0,3.36359953507781e-05,6.773200584575534e-05,0.0
1755018954,3,14,12,0.8571428571428571,safe,0.0,3.4774013329297304e-05,7.672497304156423e-05,0.0
1755018955,3,2030,2020,0.9950738916256158,safe,0.0,3.3938034903258085e-05,0.0071356000262312,0.0
1755018956,3,2600,2300,0.8846153846153846,safe,0.0,3.4558004699647427e-05,0.0001335199922323,0.0
1755018957,3,2400,2200,0.9166666666666666,safe,0.0,3.779999678954482e-05,0.0001589090097695,0.0
1755018938,3,4000,3100,0.775,safe,0.0,3.678799839690328e-05,0.000130578991957,0.0
1755018937,3,160,140,0.875,safe,0.0,2.790900180116296e-05,0.0011106099700555,0.0
1755018936,3,406,403,0.9926108374384236,safe,0.0,3.236602060496807e-05,0.0091910180053673,0.0
1755018935,3,40,32,0.8,safe,0.0,3.148301038891077e-05,7.562898099422455e-05,0.0
1755018915,3,414,408,0.9855072463768116,safe,0.0,3.4936005249619484e-05,0.00154012395069,0.0
1755018916,3,2110,2055,0.9739336492890996,safe,0.0,3.767397720366717e-05,0.0024878400145098,0.0
1755018917,3,142,131,0.9225352112676056,safe,0.0,3.1958974432200193e-05,0.0008189600193873,0.0
1755018918,3,2202,2101,0.9541326067211626,safe,0.0,3.545096842572093e-05,0.0104898189892992,0.0
1755018919,3,610,505,0.8278688524590164,safe,0.0,3.044196637347341e-05,0.0003609199775382,0.0
1755018920,3,250,225,0.9,safe,0.0,3.047502832487225e-05,0.0001879059709608,0.0
1755018921,3,2420,2210,0.9132231404958676,safe,0.0,3.692501923069358e-05,0.0009923159959726,0.0
1755018922,3,112,106,0.9464285714285714,safe,0.0,3.309897147119045e-05,0.0004834519932046,0.0
1755018923,3,340,280,0.8235294117647058,safe,0.0,2.9609014745801687e-05,6.481603486463428e-05,0.0
1755018958,3,2110,2055,0.9739336492890996,safe,0.0,3.467104397714138e-05,0.0026756969746202,0.0
1755018924,3,4000,4000,1.0,safe,0.0,3.42510174959898e-05,3.964296774938703e-05,0.0
1755018926,3,504,452,0.8968253968253969,safe,0.0,3.0094990506768227e-05,0.0008941270061768,0.0
1755018927,3,2402,2201,0.9163197335553706,safe,0.0,3.406999167054892e-05,0.0247237079893238,0.0
1755018928,3,2220,2110,0.9504504504504504,safe,0.0,4.043499939143658e-05,0.0011301009799353,0.0
1755018929,3,406,403,0.9926108374384236,safe,0.0,3.673799801617861e-05,0.0080550429993309,0.0
1755018930,3,70,65,0.9285714285714286,safe,0.0,3.2634008675813675e-05,5.453894846141338e-05,0.0
