seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1755024148,10,1757.8653575961011,1477.3232081306319,0.8404074872667645,safe,0.705,0.00011201100278412923,0.19607571300002746
1755024149,10,0,1526.8639530370965,,,0.705,6.164799924590625e-05,2.1929830919980304
1755024150,10,0,1336.973016627661,,,0.705,8.663499829708599e-05,2.1831585809995886
1755024151,10,0,1389.8994474644087,,,0.705,0.00010714800009736791,1.9369287759982399
1755024152,10,0,2095.9259090845176,,,0.705,7.666100282222033e-05,2.1848673290005536
1755024153,10,0,1347.27956230229,,,0.705,0.0001299030009249691,0.7076868340009241
1755024154,10,0,1301.3350385679091,,,0.705,9.663300079409964e-05,0.762699786999292
1755024155,10,0,1525.92963853224,,,0.705,0.00010407799709355459,1.7357062269984453
1755024156,10,0,348.71852358771446,,,0.705,8.497100134263746e-05,0.009958287999324966
1755024157,10,1771.6393846673022,1610.8597953773474,0.9092481287775459,safe,0.705,0.00013390000094659626,0.8083582720028062
1755024158,10,0,501.0498609091686,,,0.705,0.00013207000301918015,0.023914145000162534
1755024159,10,0,1103.0387691869878,,,0.705,9.206599861499853e-05,0.20770243399965693
1755024160,10,0,1343.9662251670143,,,0.705,6.684699837933294e-05,1.056807615001162
1755024161,10,0,1229.8593565567087,,,0.705,0.00010718399789766409,0.7497328740028024
1755024162,10,2801.1245645963463,2625.922987596605,0.9374531289275282,safe,0.705,0.0001338239999313373,0.04429454899945995
1755024163,10,0,1119.748532013937,,,0.705,0.00011666800128296018,1.9003324280020024
1755024164,10,0,2037.976215332843,,,0.705,0.00020502499683061615,0.9026380180002889
1755024165,10,2399.6605243102686,2191.9701539165294,0.913450103341832,safe,0.705,0.0001256260002264753,0.34677509300308884
1755024166,10,0,1182.6704078146836,,,0.705,5.5341999541269615e-05,0.49520125599883613
1755024167,10,359.0234175425114,292.4139533044417,0.8144704189659645,safe,0.705,0.00023499799863202497,0.004178110997600015
1755024168,10,0,269.2090650161389,,,0.705,8.066499867709354e-05,0.057506306999130175
1755024169,10,0,383.0701264340029,,,0.705,6.154400034574792e-05,0.022425011000450468
1755024170,10,0,1558.6579936661328,,,0.705,0.00010236899834126234,1.2010140800011868
1755024171,10,0,1273.4981434022495,,,0.705,0.00010063700028695166,0.7475872590002837
1755024172,10,1545.3689071537333,1397.1408782024296,0.9040824308906857,safe,0.705,0.00013246799790067598,0.05080970099879778
1755024173,10,0,1245.1884140941575,,,0.705,6.201300129760057e-05,2.7512536909998744
1755024174,10,0,1043.8668158914438,,,0.705,7.050500062177889e-05,4.983180349001486
1755024175,10,1396.8537332498267,1245.8601198708725,0.891904492371107,safe,0.705,0.00011949200052185915,0.8496536489983555
1755024176,10,0,1325.6006716211373,,,0.705,0.00012134400094510056,1.2857656589985709
1755024177,10,0,2114.526853365078,,,0.705,0.00010859300164156593,0.18879965400265064
1755024178,10,0,1411.4232220371837,,,0.705,0.00011467200238257647,0.3096059220006282
1755024179,10,0,2329.5228757643354,,,0.705,9.503099863650277e-05,0.4375248760006798
1755024180,10,0,92.97168500388264,,,0.705,6.21170001977589e-05,0.02228661599656334
1755024181,10,0,1642.4249983394495,,,0.705,8.325000089826062e-05,0.526265175001754
1755024182,10,1355.5990320054477,1321.713165634866,0.9750030314491657,safe,0.705,0.00011677500151563436,0.6693809040007181
1755024183,10,2636.2091865252337,2399.4125901154102,0.9101753390359955,safe,0.705,0.00013097000191919506,0.10023225600161823
1755024184,10,1511.5830723325842,1262.2221454586518,0.8350332631807437,safe,0.705,0.0001423130015609786,0.8146875860002183
1755024185,10,0,1103.6298462468646,,,0.705,9.710499944048934e-05,0.4849434299976565
1755024186,10,0,249.95335483598336,,,0.705,6.01780011493247e-05,0.11954462200083071
1755024187,10,1784.751669596361,1631.924284969827,0.9143705047430508,safe,0.705,0.0001464000015403144,0.9729905189997226
1755024188,10,0,1127.9436792249708,,,0.705,0.00010089699935633689,2.933127357002377
1755024189,10,0,1614.4000373107363,,,0.705,6.182200013427064e-05,2.307617502003268
1755024190,10,0,1238.944295807177,,,0.705,5.805999899166636e-05,1.7395194109994918
1755024191,10,0,1389.5212410506065,,,0.705,6.64649996906519e-05,0.6647724759968696
1755024192,10,0,3307.282121335173,,,0.705,9.334599963040091e-05,1.4940191310015507
1755024193,10,1740.4483030729575,1673.774424492291,0.9616915489745106,safe,0.705,0.0001291699991270434,0.06158583300202736
1755024194,10,0,450.73161016099647,,,0.705,9.596200106898323e-05,0.052506371001072694
1755024195,10,0,491.3501837587293,,,0.705,8.847400022204965e-05,0.004297195999242831
1755024196,10,0,1551.3441254599488,,,0.705,0.00012172900096629746,1.048165923999477
1755024197,10,0,1339.1556372323926,,,0.705,6.227799894986674e-05,1.4617930349995731
1755024198,10,2526.4955458325835,2421.991003142508,0.95863656167435,safe,0.705,0.00015394599904539064,0.4365280130004976
1755024199,10,0,340.6348962450365,,,0.705,5.8851001085713506e-05,0.030526077000104124
1755024200,10,0,1549.4295962863428,,,0.705,9.790300100576133e-05,2.100948069997685
1755024201,10,0,452.69862403359036,,,0.705,0.00011458600056357682,0.038941234997764695
1755024202,10,0,1508.7060880664897,,,0.705,9.426299948245287e-05,3.8193842580003547
1755024203,10,0,1580.7308591282492,,,0.705,5.993300146656111e-05,1.7271115529983945
1755024204,10,3106.461841484139,2975.587223198105,0.9578701992928691,safe,0.705,0.00014033700063009746,1.093128970998805
1755024205,10,0,1226.8059690306986,,,0.705,9.613899965188466e-05,0.9205359170009615
1755024206,10,0,1475.9035358556343,,,0.705,0.00012334100028965622,0.6699605670000892
1755024207,10,1371.3356650401918,1192.9602724069905,0.8699257977601178,safe,0.705,0.000139359002787387,1.3137622800022655
1755024208,10,0,2384.2484531925043,,,0.705,0.0001101970010495279,0.17800914599865791
1755024209,10,0,1382.9085333441076,,,0.705,0.00010474500231794082,1.23893731499993
1755024210,10,1425.9207151620362,1169.7550719818182,0.8203507106276183,safe,0.705,0.0001159249986812938,0.44639969900163123
1755024211,10,539.1991148099037,473.4827987078231,0.8781223590746268,safe,0.705,0.00011866899876622483,0.012885870997706661
1755024212,10,0,1304.456345440226,,,0.705,6.880299770273268e-05,1.419494489000499
1755024213,10,2169.9601027521267,2033.658076578467,0.9371868514998087,safe,0.705,0.0001323709984717425,0.41591137900104513
1755024214,10,0,1140.5556974161077,,,0.705,0.00011938099851249717,2.1318139850009175
1755024215,10,0,1185.5365796120168,,,0.705,5.446199793368578e-05,1.9650017999992997
1755024216,10,1520.2366592430683,1318.6174070506502,0.8673764042153771,safe,0.705,0.00013053300062892959,0.971055386999069
1755024217,10,0,1420.2510902522604,,,0.705,0.00019739799972740002,0.18246427999838488
1755024218,10,0,2639.669165149819,,,0.705,6.379700062097982e-05,2.5001402130001225
1755024219,10,0,1938.4128265094246,,,0.705,0.00010286699762218632,3.586095381000632
