seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756823873,3,0,430,415,0.9651162790697675,safe,0.0
1756823874,3,0,2024,2012,0.9940711462450593,safe,0.0
1756823875,3,0,124,112,0.9032258064516129,safe,0.0
1756823876,3,0,144,132,0.9166666666666666,safe,0.0
1756823877,3,0,224,212,0.9464285714285714,safe,0.0
1756823878,3,0,160,155,0.96875,safe,0.0
1756823879,3,0,220,210,0.9545454545454546,safe,0.0
1756823880,3,0,2050,2025,0.9878048780487805,safe,0.0
1756823881,3,0,444,422,0.9504504504504504,safe,0.0
1756823882,3,0,430,415,0.9651162790697675,safe,0.0
1756823883,3,0,2050,2025,0.9878048780487805,safe,0.0
1756823884,3,0,204,202,0.9901960784313726,safe,0.0
1756823885,3,0,2006,2003,0.9985044865403788,safe,0.0
1756823886,3,0,190,180,0.9473684210526315,safe,0.0
1756823887,3,0,700,650,0.9285714285714286,safe,0.0
1756823888,3,0,160,140,0.875,safe,0.0
1756823889,3,0,260,230,0.8846153846153846,safe,0.0
1756823890,3,0,2404,2202,0.9159733777038269,safe,0.0
1756823891,3,0,602,501,0.8322259136212624,safe,0.0
1756823892,3,0,200,155,0.775,safe,0.0
1756823893,3,0,142,131,0.9225352112676056,safe,0.0
1756823894,3,0,2404,2202,0.9159733777038269,safe,0.0
1756823895,3,0,430,420,0.9767441860465116,safe,0.0
1756823896,3,0,40,35,0.875,safe,0.0
1756823897,3,0,414,408,0.9855072463768116,safe,0.0
1756823898,3,0,2240,2120,0.9464285714285714,safe,0.0
1756823899,3,0,2042,2021,0.9897159647404505,safe,0.0
1756823900,3,0,424,412,0.9716981132075472,safe,0.0
1756823901,3,0,230,215,0.9347826086956522,safe,0.0
1756823902,3,0,244,222,0.9098360655737705,safe,0.0
1756823903,3,0,620,510,0.8225806451612904,safe,0.0
1756823904,3,0,610,505,0.8278688524590164,safe,0.0
1756823905,3,0,640,520,0.8125,safe,0.0
1756823906,3,0,602,501,0.8322259136212624,safe,0.0
1756823907,3,0,550,500,0.9090909090909091,safe,0.0
1756823908,3,0,406,403,0.9926108374384236,safe,0.0
1756823909,3,0,2402,2201,0.9163197335553706,safe,0.0
1756823910,3,0,250,225,0.9,safe,0.0
1756823911,3,0,124,112,0.9032258064516129,safe,0.0
1756823912,3,0,2030,2015,0.9926108374384236,safe,0.0
1756823913,3,0,224,212,0.9464285714285714,safe,0.0
1756823914,3,0,406,403,0.9926108374384236,safe,0.0
1756823915,3,0,604,602,0.9966887417218543,safe,0.0
1756823916,3,0,400,320,0.8,safe,0.0
1756823917,3,0,2404,2202,0.9159733777038269,safe,0.0
1756823918,3,0,520,460,0.8846153846153846,safe,0.0
1756823919,3,0,430,415,0.9651162790697675,safe,0.0
1756823920,3,0,8,7,0.875,safe,0.0
1756823921,3,0,40,35,0.875,safe,0.0
1756823922,3,0,2440,2220,0.9098360655737705,safe,0.0
1756823923,3,0,450,425,0.9444444444444444,safe,0.0
1756823924,3,0,26,24,0.9230769230769231,safe,0.0
1756823925,3,0,2004,2002,0.999001996007984,safe,0.0
1756823926,3,0,700,650,0.9285714285714286,safe,0.0
1756823927,3,0,310,255,0.8225806451612904,safe,0.0
1756823928,3,0,2204,2102,0.9537205081669692,safe,0.0
1756823929,3,0,620,510,0.8225806451612904,safe,0.0
1756823930,3,0,600,500,0.8333333333333334,safe,0.0
1756823931,3,0,2220,2110,0.9504504504504504,safe,0.0
1756823932,3,0,112,106,0.9464285714285714,safe,0.0
1756823933,3,0,20,18,0.9,safe,0.0
1756823934,3,0,7,6,0.8571428571428571,safe,0.0
1756823935,3,0,640,520,0.8125,safe,0.0
1756823936,3,0,406,404,0.9950738916256158,safe,0.0
1756823937,3,0,2060,2030,0.9854368932038835,safe,0.0
1756823938,3,0,206,203,0.9854368932038835,safe,0.0
1756823939,3,0,2800,2400,0.8571428571428571,safe,0.0
1756823940,3,0,602,501,0.8322259136212624,safe,0.0
1756823941,3,0,190,180,0.9473684210526315,safe,0.0
1756823942,3,0,52,46,0.8846153846153846,safe,0.0
1756823943,3,0,16,14,0.875,safe,0.0
1756823944,3,0,2060,2030,0.9854368932038835,safe,0.0
1756823945,3,0,64,52,0.8125,safe,0.0
1756823946,3,0,160,155,0.96875,safe,0.0
1756823947,3,0,180,150,0.8333333333333334,safe,0.0
1756823948,3,0,610,605,0.9918032786885246,safe,0.0
1756823949,3,0,206,203,0.9854368932038835,safe,0.0
1756823950,3,0,408,404,0.9901960784313726,safe,0.0
1756823951,3,0,43,42,0.9767441860465116,safe,0.0
1756823952,3,0,26,23,0.8846153846153846,safe,0.0
1756823953,3,0,8,7,0.875,safe,0.0
1756823954,3,0,2300,2150,0.9347826086956522,safe,0.0
1756823955,3,0,2006,2003,0.9985044865403788,safe,0.0
1756823956,3,0,540,480,0.8888888888888888,safe,0.0
1756823957,3,0,2404,2202,0.9159733777038269,safe,0.0
