seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1756845691,10,0,6140,6110,0.995114006514658,safe,0.166,3.891787491738796e-05,0.006300183013081551
1756845692,10,0,0,2524,,,0.166,3.4275930374860764e-05,0.0989360399544239
1756845693,10,0,7202,7101,0.9859761177450708,safe,0.166,4.969397559762001e-05,0.001931759063154459
1756845694,10,0,2216,2175,0.9814981949458483,safe,0.166,3.839796409010887e-05,0.060939308954402804
1756845695,10,0,1102,900,0.8166969147005445,safe,0.166,3.2468000426888466e-05,0.0002651319373399019
1756845696,10,0,1046,1040,0.994263862332696,safe,0.166,3.289803862571716e-05,0.00212989398278296
1756845697,10,0,787,639,0.8119440914866582,safe,0.166,3.954395651817322e-05,0.00978893507272005
1756845698,10,0,4672,4600,0.9845890410958904,safe,0.166,3.696884959936142e-05,0.0017517202068120241
1756845699,10,0,0,2802,,,0.166,2.7978094294667244e-05,0.02369951014406979
1756845700,10,0,4880,4620,0.9467213114754098,safe,0.166,3.756396472454071e-05,0.0055326048750430346
1756845701,10,0,6000,6000,1.0,safe,0.166,3.001280128955841e-05,0.0007293249946087599
1756845702,10,0,640,620,0.96875,safe,0.166,3.6939047276973724e-05,0.00010883808135986328
1756845703,10,0,3700,3500,0.9459459459459459,safe,0.166,3.3812131732702255e-05,0.0015450778882950544
1756845704,10,0,2952,2811,0.9522357723577236,safe,0.166,3.281887620687485e-05,0.058805506909266114
1756845705,10,0,3418,3208,0.938560561732007,safe,0.166,3.382493741810322e-05,0.3287134040147066
1756845706,10,0,2430,2360,0.9711934156378601,safe,0.166,3.288290463387966e-05,0.10871403501369059
1756845707,10,0,644,590,0.9161490683229814,safe,0.166,3.1467992812395096e-05,0.0020791669376194477
1756845708,10,0,2358,2200,0.9329940627650551,safe,0.166,4.523596726357937e-05,0.021922011161223054
1756845709,10,0,0,190,,,0.166,3.42449638992548e-05,0.0005393330939114094
1756845710,10,0,3230,2850,0.8823529411764706,safe,0.166,3.551994450390339e-05,0.0003446668852120638
1756845711,10,0,0,1000,,,0.166,2.8860056772828102e-05,0.0002618997823446989
1756845712,10,0,0,2800,,,0.166,2.2520078346133232e-05,0.001822574995458126
1756845713,10,0,2927,2712,0.9265459514861633,safe,0.166,3.2074982300400734e-05,0.05638524191454053
1756845714,10,0,636,548,0.8616352201257862,safe,0.166,3.3627962693572044e-05,0.0002030429895967245
1756845715,10,0,978,801,0.8190184049079755,safe,0.166,0.00010916381143033504,0.0008080501575022936
1756845716,10,0,3438,3200,0.9307737056428156,safe,0.166,3.573484718799591e-05,0.0006738940719515085
1756845717,10,0,2734,2672,0.9773226042428675,safe,0.166,3.503193147480488e-05,0.02436741883866489
1756845718,10,0,805,650,0.8074534161490683,safe,0.166,3.853999078273773e-05,0.001377234933897853
1756845719,10,0,2722,2420,0.8890521675238795,safe,0.166,3.584194928407669e-05,0.000651129987090826
1756845720,10,0,2336,2285,0.978167808219178,safe,0.166,3.292597830295563e-05,0.007799095939844847
1756845721,10,0,4502,4440,0.986228342958685,safe,0.166,3.4635886549949646e-05,0.00920892390422523
1756845722,10,0,0,2480,,,0.166,2.6321038603782654e-05,0.022597952047362924
1756845723,10,0,0,900,,,0.166,2.164999023079872e-05,0.00020004995167255402
1756845724,10,0,646,641,0.9922600619195047,safe,0.166,3.7531135603785515e-05,0.0005248929373919964
1756845725,10,0,3120,2850,0.9134615384615384,safe,0.166,3.2190000638365746e-05,0.007463171845301986
1756845726,10,0,2722,2607,0.9577516531961793,safe,0.166,3.374787047505379e-05,0.09735293197445571
1756845727,10,0,1126,1070,0.9502664298401421,safe,0.166,2.937018871307373e-05,0.0008708050008863211
1756845728,10,0,4622,4400,0.9519688446559931,safe,0.166,0.00010223011486232281,0.0025687699671834707
1756845729,10,0,2874,2605,0.9064022268615171,safe,0.166,3.1880103051662445e-05,0.001611985033378005
1756845730,10,0,2902,2660,0.9166092350103378,safe,0.166,4.401709884405136e-05,0.016891502076759934
1756845731,10,0,2364,2272,0.961082910321489,safe,0.166,4.827510565519333e-05,0.02757735806517303
1756845732,10,0,2504,2271,0.9069488817891374,safe,0.166,4.201405681669712e-05,0.02932587801478803
1756845733,10,0,9000,9000,1.0,safe,0.166,3.747688606381416e-05,0.0007476028986275196
1756845734,10,0,4530,4360,0.9624724061810155,safe,0.166,3.795698285102844e-05,0.003423997899517417
1756845735,10,0,2986,2750,0.9209645010046885,safe,0.166,3.2624928280711174e-05,0.0028833120595663786
1756845736,10,0,2696,2605,0.966246290801187,safe,0.166,4.38871793448925e-05,0.0016282848082482815
1756845737,10,0,778,620,0.7969151670951157,safe,0.166,3.399606794118881e-05,0.0002796740736812353
1756845738,10,0,754,630,0.8355437665782494,safe,0.166,3.056996501982212e-05,0.0025908369570970535
1756845739,10,0,2692,2655,0.986255572065379,safe,0.166,4.074908792972565e-05,0.058195661986246705
1756845740,10,0,916,811,0.8853711790393013,safe,0.166,3.203400410711765e-05,0.0004206770099699497
1756845741,10,0,3516,3202,0.9106939704209329,safe,0.166,4.098797217011452e-05,0.1302883280441165
1756845742,10,0,0,5020,,,0.166,4.712794907391071e-05,0.05220386106520891
1756845743,10,0,3156,3020,0.9569074778200254,safe,0.166,4.354002885520458e-05,0.0026802229695022106
1756845744,10,0,1224,1212,0.9901960784313726,safe,0.166,3.329804167151451e-05,0.019779426977038383
1756845745,10,0,4420,4210,0.9524886877828054,safe,0.166,3.764918074011803e-05,0.0008968871552497149
1756845746,10,0,0,805,,,0.166,4.888302646577358e-05,0.0017795530147850513
1756845747,10,0,2862,2490,0.870020964360587,safe,0.166,3.611994907259941e-05,0.003959680208936334
1756845748,10,0,0,801,,,0.166,2.805911935865879e-05,0.0012881280854344368
1756845749,10,0,868,733,0.8444700460829493,safe,0.166,3.120303153991699e-05,0.0032443588133901358
1756845750,10,0,590,570,0.9661016949152542,safe,0.166,3.302306868135929e-05,0.00022601895034313202
1756845751,10,0,7210,7105,0.9854368932038835,safe,0.166,4.013488069176674e-05,0.09769891295582056
1756845752,10,0,690,611,0.8855072463768116,safe,0.166,4.3392181396484375e-05,0.020829528104513884
1756845753,10,0,1190,1020,0.8571428571428571,safe,0.166,3.107101656496525e-05,0.0006639230996370316
1756845754,10,0,2491,2330,0.9353673223604978,safe,0.166,4.165899008512497e-05,0.09543193900026381
1756845755,10,0,6014,6010,0.9993348852677086,safe,0.166,3.664707764983177e-05,0.10816508298739791
1756845756,10,0,1112,1011,0.9091726618705036,safe,0.166,3.279605880379677e-05,0.00263750902377069
