seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,mrt,let,rm
1755016069,3,0,2300.0,2004.9635354497905,0.8717232762825176,safe,0.02,4.9635354497903705,3222.561439333942,0.0021580588912132044
1755016070,3,0,414.0,409.6382738562179,0.9894644296043911,safe,0.02,7.638273856217887,614.6610664355991,0.01844993685076784
1755016071,3,0,2500.0,2064.967076301218,0.8259868305204873,safe,0.02,2064.9670763012186,3435.173209676916,0.8259868305204875
1755016072,3,0,106.0,104.74846790226037,0.9881930934175507,safe,0.02,0,157.37033090813327,
1755016073,3,0,34.0,30.820479750871744,0.9064846985550513,safe,0.02,12.820479750871742,32.07128824891866,0.3770729338491689
1755016074,3,0,450.0,395.9036937039898,0.8797859860088663,safe,0.02,395.9036937039894,641.5253163653827,0.8797859860088654
1755016075,3,0,861.7899775350487,779.5598944899731,0.9045822239888704,safe,0.02,79.5598944899732,1224.4947447533882,0.09231935455728543
1755016076,3,0,442.0,425.29244267991544,0.9622000965608947,safe,0.02,182.2924426799154,479.80791219564003,0.41242634090478597
1755016077,3,0,1013.5949650874493,1013.5949650874495,1.0000000000000002,safe,0.02,413.59496508744974,1067.240239031069,0.4080475725841498
1755016078,3,0,450.0,398.8145690262615,0.8862545978361367,safe,0.02,38.81456902626161,597.8571706972568,0.08625459783613691
1755016079,3,0,124.0,110.6739683829023,0.8925320030879218,safe,0.02,0,129.6526905864345,
1755016080,3,0,2004.0,1262.0280757733572,0.6297545288290205,safe,0.02,0,2263.417091716262,
1755016081,3,0,2024.0,1225.5517550910095,0.6055097604204592,safe,0.02,1215.5517550910095,2250.214911539705,0.6005690489580087
1755016082,3,0,214.0,211.13335379430436,0.9866044569827306,safe,0.02,71.13335379430441,247.61750618135179,0.3323988495060954
1755016083,3,0,158.28982021214117,141.13553856235725,0.8916273855969157,safe,0.02,89.13553856235725,249.7489033277649,0.5631160515748717
1755016084,3,0,224.0,215.53222088496375,0.9621974146650167,safe,0.02,83.53222088496398,255.7580896023856,0.3729117003793035
1755016085,3,0,406.0,388.89366922980844,0.9578661803689863,safe,0.02,386.8936692298083,592.2561648694457,0.9529400719946017
1755016086,3,0,2006.0,2003.9382987203867,0.9989722326622067,safe,0.02,0,2100.860089422415,
