seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755018752,10,2778,2415,0.8693304535637149,safe,0.175,9.550200047669932e-05,0.3607927620032569,0.1698
1755018753,10,0,449,,,0.175,6.444899918278679e-05,0.0042931620009767,0.1698
1755018754,10,6404,4303,0.6719237976264835,safe,0.175,8.698099918547086e-05,0.1861424210001132,0.1698
1755018755,10,4616,3373,0.7307192374350087,safe,0.175,8.501599950250238e-05,0.2334590840000601,0.1698
1755018756,10,707,556,0.7864214992927864,safe,0.175,7.992699829628691e-05,0.0065696759993443,0.1698
1755018757,10,4158,3230,0.7768157768157768,safe,0.175,7.669399929000065e-05,0.1063005139985762,0.1698
1755018758,10,3028,2524,0.8335535006605019,safe,0.175,8.988199988380075e-05,0.1030507770010444,0.1698
1755018759,10,3312,2666,0.8049516908212561,safe,0.175,9.08719994185958e-05,0.0855459589984093,0.1698
1755018760,10,5692,4351,0.7644061841180604,safe,0.175,8.749300104682334e-05,0.1114385460023186,0.1698
1755018761,10,4704,3358,0.7138605442176871,safe,0.175,8.237699876190163e-05,0.0798020289985288,0.1698
1755018762,10,0,1073,,,0.175,8.745499872020446e-05,0.0074136479997832,0.1698
1755018763,10,708,554,0.7824858757062146,safe,0.175,6.841099821031094e-05,0.0162699190004786,0.1698
1755018764,10,0,597,,,0.175,4.980900121154264e-05,0.0148738370007777,0.1698
1755018765,10,4440,3317,0.747072072072072,safe,0.175,7.728900163783692e-05,0.2972175209979468,0.1698
1755018766,10,2240,2131,0.9513392857142856,safe,0.175,9.03510008356534e-05,0.3225927669991506,0.1698
1755018767,10,6044,4212,0.6968894771674388,safe,0.175,8.527899990440346e-05,0.2581821610001498,0.1698
1755018768,10,818,620,0.7579462102689487,safe,0.175,8.74780016602017e-05,0.0155143970005156,0.1698
1755018769,10,4124,3373,0.8178952473326867,safe,0.175,8.410800001001917e-05,0.160223381997639,0.1698
1755018770,10,4534,3330,0.7344508160564622,safe,0.175,7.602200275869109e-05,0.098835812001198,0.1698
1755018771,10,4730,3566,0.7539112050739958,safe,0.175,7.924499732325785e-05,0.0805447870006901,0.1698
1755018772,10,2718,2360,0.8682855040470935,safe,0.175,7.920099960756488e-05,0.39601169800153,0.1698
1755018773,10,0,3590,,,0.175,7.32059997972101e-05,0.0040506240002287,0.1698
1755018774,10,2320,2165,0.9331896551724138,safe,0.175,7.760399967082776e-05,0.0323131280019879,0.1698
1755018775,10,0,2564,,,0.175,9.008000051835552e-05,0.5366045060000033,0.1698
1755018776,10,3610,2805,0.7770083102493075,safe,0.175,8.677599907969125e-05,0.227436402998137,0.1698
1755018777,10,0,730,,,0.175,0.0001001549971988,0.0006900249973114,0.1698
1755018778,10,4048,3141,0.7759387351778656,safe,0.175,7.932100197649561e-05,0.6676784110022709,0.1698
1755018779,10,4300,3152,0.7330232558139534,safe,0.175,9.732399848871864e-05,0.0955629199997929,0.1698
1755018780,10,788,610,0.7741116751269036,safe,0.175,7.418099994538352e-05,0.0150100410028244,0.1698
1755018781,10,0,1040,,,0.175,9.762000263435766e-05,0.0005811119990539,0.1698
1755018782,10,2502,2252,0.9000799360511591,safe,0.175,0.0001091390004148,0.745647984000243,0.1698
1755018783,10,0,3405,,,0.175,4.363299740361981e-05,0.0099415580007189,0.1698
1755018784,10,4272,3296,0.7715355805243446,safe,0.175,9.186900206259452e-05,0.1026983449992258,0.1698
1755018785,10,2696,2353,0.8727744807121661,safe,0.175,8.147699918481521e-05,0.3435128090022772,0.1698
1755018786,10,4750,3377,0.7109473684210527,safe,0.175,0.0001085760013666,0.4412590009997075,0.1698
1755018787,10,5054,3532,0.6988523941432528,safe,0.175,0.0001171100011561,0.0829490969990729,0.1698
1755018788,10,0,701,,,0.175,5.8879999414784834e-05,0.0143316970024898,0.1698
1755018789,10,3161,2593,0.8203100284720025,safe,0.175,0.0001108950018533,0.2562439139983326,0.1698
1755018790,10,2668,2334,0.8748125937031485,safe,0.175,0.0001035669993143,0.5194104900001548,0.1698
1755018791,10,4456,3429,0.769524236983842,safe,0.175,8.062900087679736e-05,0.2772383840019756,0.1698
1755018792,10,2860,2451,0.856993006993007,safe,0.175,7.941300282254815e-05,0.3985626619978575,0.1698
1755018793,10,6004,4398,0.7325116588940707,safe,0.175,8.767899998929352e-05,0.0430272210032853,0.1698
1755018794,10,1012,716,0.7075098814229249,safe,0.175,7.210700277937576e-05,0.0052325790020404,0.1698
