seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016036,8,0.2,829.4,739.8393223053752,0.8920175094108695,safe,0.23,,True,0.173,0.173,0.173
1755016037,8,0.2,4196.957667030903,4056.7755814992415,0.9665991185393984,safe,0.23,False,False,0.173,0.173,0.173
1755016038,8,0.2,475.2979367318624,444.734907072608,0.9356971127007092,safe,0.23,False,False,0.173,0.173,0.173
1755016039,8,0.2,2732.4,2555.8381741871126,0.9353821454351896,safe,0.23,False,False,0.173,0.173,0.173
1755016040,8,0.2,2426.1502144990955,2288.4506609712525,0.9432435993843552,safe,0.23,False,True,0.173,0.173,0.173
1755016041,8,0.2,1233.950458872751,1113.9035561592318,0.9027133529953988,safe,0.23,False,False,0.173,0.173,0.173
1755016042,8,0.2,4254.711883973549,3826.004131636408,0.8992392989165781,safe,0.23,False,True,0.173,0.173,0.173
1755016043,8,0.2,3344.0,2961.683808064762,0.8856709952346776,safe,0.23,False,False,0.173,0.173,0.173
1755016044,8,0.2,2340.8,2229.626907163592,0.9525063684054988,safe,0.23,False,True,0.173,0.173,0.173
1755016045,8,0.2,2723.5999999999995,2470.265366949672,0.9069853748530152,safe,0.23,False,False,0.173,0.173,0.173
1755016046,8,0.2,0.0,2638.5070218808905,,,0.23,False,False,0.173,0.173,0.173
1755016047,8,0.2,0.0,769.9832146615983,,,0.23,False,False,0.173,0.173,0.173
1755016048,8,0.2,422.19999999999993,403.0579125219392,0.954661090767265,safe,0.23,False,True,0.173,0.173,0.173
1755016049,8,0.2,1337.2775822600645,1248.841623185337,0.9338686595454132,safe,0.23,False,True,0.173,0.173,0.173
1755016050,8,0.2,2761.0,2606.494099435557,0.9440398766517772,safe,0.23,False,False,0.173,0.173,0.173
1755016051,8,0.2,0.0,1455.5509350831708,,,0.23,False,False,0.173,0.173,0.173
1755016052,8,0.2,2545.4,2416.7701117494075,0.9494657467389832,safe,0.23,False,False,0.173,0.173,0.173
1755016053,8,0.2,2365.0,2301.627761092154,0.9732041273116928,safe,0.23,False,False,0.173,0.173,0.173
1755016054,8,0.2,2840.2000000000007,2615.019240275318,0.9207165834361376,safe,0.23,False,False,0.173,0.173,0.173
1755016055,8,0.2,2673.0,2552.585243934957,0.95495145676579,safe,0.23,False,False,0.173,0.173,0.173
1755016056,8,0.2,3027.726914800379,2815.582570534554,0.9299328009970768,safe,0.23,False,False,0.173,0.173,0.173
1755016057,8,0.2,2945.8,2597.170397231377,0.881651978149018,safe,0.23,False,False,0.173,0.173,0.173
1755016058,8,0.2,438.4692014942528,429.577630876574,0.9797213337051328,safe,0.23,True,False,0.173,0.173,0.173
1755016059,8,0.2,0.0,263.9790790983134,,,0.23,False,False,0.173,0.173,0.173
1755016060,8,0.2,3302.2000000000003,3095.3366198224394,0.9373558899589484,safe,0.23,False,False,0.173,0.173,0.173
1755016061,8,0.2,763.4000000000001,685.0874686465048,0.8974161234562545,safe,0.23,False,False,0.173,0.173,0.173
1755016062,8,0.2,0.0,1059.521818320267,,,0.23,False,False,0.173,0.173,0.173
1755016063,8,0.2,0.0,812.6601768107015,,,0.23,False,False,0.173,0.173,0.173
1755016064,8,0.2,0.0,704.0523844583108,,,0.23,False,False,0.173,0.173,0.173
1755016065,8,0.2,5000.4259079633175,4728.463722440316,0.9456121957351884,safe,0.23,,False,0.173,0.173,0.173
