seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755024029,5,2306,2203,0.9553339115351258,safe,0.042,4.015700324089266e-05,0.1092114220009534,0.0357
1755024030,5,2050,2025,0.9878048780487804,safe,0.042,3.939499947591685e-05,0.2083632760004548,0.0357
1755024031,5,715,660,0.9230769230769232,safe,0.042,3.4969001717399806e-05,0.0005811759983771,0.0357
1755024032,5,2148,2084,0.9702048417132216,safe,0.042,3.92440015275497e-05,0.0599520940013462,0.0357
1755024033,5,648,524,0.808641975308642,safe,0.042,3.875599941238761e-05,0.0023451629967894,0.0357
1755024034,5,2134,2068,0.9690721649484536,safe,0.042,3.840900171780959e-05,0.032344685998396,0.0357
1755024035,5,76,59,0.7763157894736842,safe,0.042,3.766699956031516e-05,0.0002105070016114,0.0357
1755024036,5,2420,2215,0.9152892561983472,safe,0.042,4.1087998397415504e-05,0.0057958869983849,0.0357
1755024037,5,247,224,0.9068825910931174,safe,0.037,5.019099990022369e-05,0.002899677001551,0.0357
1755024038,5,346,283,0.8179190751445087,safe,0.037,3.930999810108915e-05,0.0015871079995122,0.0357
1755024039,5,820,613,0.7475609756097561,safe,0.037,2.080700141959824e-05,0.0033101459994213,0.0357
1755024040,5,640,520,0.8125,safe,0.037,3.655299951788038e-05,0.0002954339979623,0.0357
1755024041,5,0,710,,,0.037,2.7311998564982787e-05,0.0001203499996336,0.0357
1755024042,5,2514,2258,0.898170246618934,safe,0.037,2.3143998987507075e-05,0.0148538200010079,0.0357
1755024043,5,2540,2280,0.8976377952755905,safe,0.037,3.866900078719482e-05,0.0008409720030613,0.0357
1755024044,5,830,616,0.7421686746987952,safe,0.037,3.612100044847466e-05,0.0033655850020295,0.0357
1755024045,5,2264,2132,0.941696113074205,safe,0.037,4.3990999984089285e-05,0.0177682360008475,0.0357
1755024046,5,292,246,0.8424657534246576,safe,0.037,3.757599915843457e-05,0.0012363699970592,0.0357
1755024047,5,0,900,,,0.037,3.227999695809558e-05,3.908700091415085e-05,0.0357
1755024048,5,2434,2218,0.9112571898110108,safe,0.037,3.812200156971812e-05,0.0314080000025569,0.0357
1755024049,5,340,270,0.7941176470588235,safe,0.037,3.736699727596715e-05,0.000272629000392,0.0357
1755024050,5,3000,2500,0.8333333333333334,safe,0.037,4.0900999010773376e-05,0.0002141420009138,0.0357
1755024051,5,2610,2305,0.8831417624521073,safe,0.037,3.8679998397128657e-05,0.0033042489994841,0.0357
1755024052,5,516,459,0.8895348837209303,safe,0.037,3.925500277546234e-05,0.0071588220016565,0.0357
1755024053,5,420,325,0.7738095238095238,safe,0.037,2.378299905103632e-05,0.000132917000883,0.0357
1755024054,5,370,295,0.7972972972972973,safe,0.037,1.924499883898534e-05,0.0001181070001621,0.0357
1755024055,5,2224,2112,0.9496402877697842,safe,0.037,3.907599966623821e-05,0.1614376340003218,0.0357
1755024056,5,2252,2126,0.94404973357016,safe,0.037,0.0001215399970533,0.0503696419982588,0.0357
1755024057,5,230,195,0.8478260869565217,safe,0.037,3.2755997381173074e-05,0.0002050879993475,0.0357
1755024058,5,110,76,0.6909090909090909,safe,0.037,4.198699753032997e-05,0.0002085880005324,0.0357
1755024059,5,664,632,0.9518072289156626,safe,0.037,3.994799772044644e-05,0.0013206219991843,0.0357
1755024060,5,412,356,0.8640776699029126,safe,0.037,4.013199941255152e-05,0.0011238449988013,0.0357
1755024061,5,646,523,0.8095975232198143,safe,0.037,3.798699981416576e-05,0.0039191229989228,0.0357
1755024062,5,2600,2350,0.903846153846154,safe,0.037,3.692400059662759e-05,0.0002564770002209,0.0357
1755024063,5,138,120,0.8695652173913043,safe,0.037,3.123900023638271e-05,0.0002900899999076,0.0357
1755024064,5,2630,2315,0.8802281368821293,safe,0.037,3.5157001548213884e-05,0.0045724390001851,0.0357
1755024065,5,724,562,0.7762430939226519,safe,0.037,3.374400330358185e-05,0.0009259510006813,0.0357
1755024066,5,370,295,0.7972972972972973,safe,0.037,3.103199924225919e-05,0.0002164760007872,0.0357
1755024067,5,0,76,,,0.037,3.488099901005626e-05,0.0001693840022198,0.0357
1755024068,5,0,622,,,0.037,8.87179994606413e-05,0.000932703998842,0.0357
1755024069,5,2036,2019,0.9916502946954814,safe,0.037,3.221400038455613e-05,0.1312275890013552,0.0357
1755024070,5,121,113,0.9338842975206612,safe,0.037,3.021799784619361e-05,0.0005766759968537,0.0357
1755024071,5,362,291,0.8038674033149171,safe,0.037,3.023699900950305e-05,0.0007551069975306,0.0357
1755024072,5,166,143,0.8614457831325302,safe,0.037,2.955799936898984e-05,0.0013627209991682,0.0357
1755024073,5,3002,2501,0.8331112591605596,safe,0.037,3.587399987736717e-05,0.0091290929995011,0.0357
1755024074,5,4404,3402,0.7724795640326976,safe,0.037,4.0746999729890376e-05,0.0039531090005766,0.0357
1755024075,5,644,522,0.8105590062111802,safe,0.037,3.1440999009646475e-05,0.006601466997381,0.0357
1755024076,5,670,535,0.7985074626865671,safe,0.037,3.4010001400019974e-05,0.0004230830018059,0.0357
1755024077,5,0,610,,,0.037,2.794499960145913e-05,0.0004772969987243,0.0357
1755024078,5,652,526,0.8067484662576687,safe,0.037,2.939999831141904e-05,0.002772272000584,0.0357
1755024079,5,126,113,0.8968253968253969,safe,0.037,3.2603998988633975e-05,0.0006293680016824,0.0357
1755024080,5,230,215,0.9347826086956522,safe,0.037,3.405000097700395e-05,0.0018613840002217,0.0357
1755024081,5,2092,2046,0.9780114722753346,safe,0.037,3.760300023714081e-05,0.0506973009978537,0.0357
1755024082,5,2860,2430,0.8496503496503497,safe,0.037,3.672700040624477e-05,0.0015082280006026,0.0357
1755024083,5,724,562,0.7762430939226519,safe,0.037,3.277400173828937e-05,0.0009148860008281,0.0357
1755024084,5,474,438,0.9240506329113924,safe,0.037,2.889800089178607e-05,0.0014964340007281,0.0357
1755024085,5,482,451,0.9356846473029046,safe,0.037,3.2182997529162094e-05,0.0022785690016462,0.0357
1755024086,5,2254,2128,0.9440993788819876,safe,0.037,3.438500061747618e-05,0.0226353030011523,0.0357
1755024087,5,604,522,0.8642384105960265,safe,0.037,3.305300197098404e-05,0.0008790749998297,0.0357
1755024088,5,2550,2285,0.8960784313725491,safe,0.037,3.7010999221820384e-05,0.0035411179997026,0.0357
1755024089,5,340,270,0.7941176470588235,safe,0.037,3.269299850217067e-05,0.0002235249994555,0.0357
1755024090,5,280,240,0.8571428571428571,safe,0.037,3.129600008833222e-05,0.0002274939979542,0.0357
1755024091,5,118,110,0.9322033898305084,safe,0.037,3.4844000765588135e-05,0.000845524999022,0.0357
1755024092,5,3408,3204,0.9401408450704224,safe,0.037,4.011299824924208e-05,0.082514795998577,0.0357
1755024093,5,3000,2600,0.8666666666666667,safe,0.037,4.018099934910424e-05,0.0001596820002305,0.0357
1755024094,5,2414,2208,0.9146644573322288,safe,0.037,4.109699875698425e-05,0.0256751390006684,0.0357
1755024095,5,3142,3081,0.9805856142584342,safe,0.037,3.791799827013165e-05,0.0197044980013743,0.0357
1755024096,5,3112,3056,0.9820051413881749,safe,0.037,2.7268997655482963e-05,0.0252439069990941,0.0357
1755024097,5,650,525,0.8076923076923077,safe,0.037,2.273700010846369e-05,0.0003114620012638,0.0357
1755024098,5,730,565,0.773972602739726,safe,0.037,2.106199826812372e-05,0.000259274002019,0.0357
1755024099,5,4042,3023,0.747897080653142,safe,0.037,4.249099947628565e-05,0.1090332019994093,0.0357
1755024100,5,68,54,0.7941176470588235,safe,0.037,3.533299968694337e-05,0.0001357040018774,0.0357
1755024101,5,2360,2205,0.934322033898305,safe,0.037,5.0277001719223335e-05,0.0039271870009542,0.0357
1755024102,5,2462,2231,0.9061738424045492,safe,0.037,3.875000038533472e-05,0.0354067010011931,0.0357
1755024103,5,2444,2222,0.909165302782324,safe,0.037,4.249700214131735e-05,0.0077485570000135,0.0357
1755024104,5,526,463,0.8802281368821293,safe,0.037,3.497800207696855e-05,0.0047138859990809,0.0357
1755024105,5,126,113,0.8968253968253969,safe,0.037,3.754300269065425e-05,0.0007324170001083,0.0357
1755024106,5,2432,2216,0.9111842105263158,safe,0.037,3.931599712814205e-05,0.0610969859990291,0.0357
1755024107,5,104,92,0.8846153846153846,safe,0.037,3.794900112552568e-05,0.0001228829969477,0.0357
1755024108,5,400,324,0.81,safe,0.037,3.872100205626339e-05,0.0007971189988893,0.0357
1755024109,5,2322,2161,0.9306632213608956,safe,0.037,4.531699960352853e-05,0.0309015700004238,0.0357
1755024110,5,2508,2254,0.8987240829346093,safe,0.037,4.091099981451407e-05,0.0519464930002868,0.0357
1755024111,5,475,440,0.9263157894736842,safe,0.037,3.802699939114973e-05,0.0008027539988688,0.0357
1755024112,5,2184,2102,0.9624542124542124,safe,0.037,6.354400102281943e-05,0.0146499420006875,0.0357
1755024113,5,590,505,0.8559322033898306,safe,0.037,4.184299905318767e-05,0.0005528070032596,0.0357
1755024114,5,2112,2056,0.9734848484848484,safe,0.037,4.424600047059357e-05,0.1034757930028718,0.0357
1755024115,5,2720,2360,0.8676470588235294,safe,0.037,4.6781999117229134e-05,0.0016700600026524,0.0357
1755024116,5,812,656,0.8078817733990148,safe,0.037,4.350800008978695e-05,0.0030949449974286,0.0357
1755024117,5,2602,2301,0.8843197540353575,safe,0.037,4.464299854589626e-05,0.0174863820029713,0.0357
1755024118,5,1004,802,0.798804780876494,safe,0.037,5.5668999266345054e-05,0.0010164829982386,0.0357
1755024119,5,4050,3225,0.7962962962962963,safe,0.037,4.782199903274886e-05,0.0040133039983629,0.0357
1755024120,5,2640,2320,0.8787878787878788,safe,0.037,4.450699998415075e-05,0.003003643003467,0.0357
1755024121,5,2122,2061,0.971253534401508,safe,0.037,4.599599924404174e-05,0.0888167279990739,0.0357
1755024122,5,0,625,,,0.037,3.5913002648158e-05,0.0005147510019014,0.0357
