seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016197,3,502.0,451,0.898406374501992,safe,0.0,False,False,0.0011216469974897,2.967799809994176e-05,0.0
1755016198,3,32.0,31,0.96875,safe,0.0,False,False,0.0001397670021106,3.020299845957197e-05,0.0
1755016199,3,16.0,15,0.9375,safe,0.0,False,False,0.0001134540034399,3.0162998882588e-05,0.0
1755016200,3,280.0,240,0.8571428571428571,safe,0.0,False,False,7.788700168021023e-05,2.771599974948913e-05,0.0
1755016201,3,400.0,302,0.755,safe,0.0,,False,0.0002883019988075,3.213300078641623e-05,0.0
1755016202,3,510.0,455,0.8921568627450981,safe,0.0,False,False,0.0002709699983824,3.211299917893484e-05,0.0
1755016203,3,250.0,225,0.9,safe,0.0,False,False,0.0001465399982407,2.786400000331924e-05,0.0
1755016204,3,2150.0,2100,0.9767441860465116,safe,0.0,False,False,0.0002449509993311,3.5467997804516926e-05,0.0
1755016205,3,2040.0,2020,0.9901960784313726,safe,0.0,False,False,0.0024034659982135,3.083400224568322e-05,0.0
1755016206,3,23.0,22,0.9565217391304348,safe,0.0,False,False,0.0001299130017287,3.018300049006939e-05,0.0
1755016207,3,144.0,132,0.9166666666666666,safe,0.0,False,False,0.0004804370000783,3.2777999876998365e-05,0.0
1755016208,3,8.0,6,0.75,safe,0.0,False,False,6.898399806232192e-05,3.308099985588342e-05,0.0
1755016209,3,510.0,455,0.8921568627450981,safe,0.0,False,False,0.0003740690008271,3.129800097667612e-05,0.0
1755016210,3,540.0,480,0.8888888888888888,safe,0.0,False,False,0.0001267379993805,2.851799945347011e-05,0.0
1755016211,3,460.0,430,0.9347826086956522,safe,0.0,False,False,0.0002714219990593,3.1150000722846016e-05,0.0
1755016212,3,80.0,70,0.875,safe,0.0,,False,9.56229996518232e-05,3.292800101917237e-05,0.0
1755016213,3,520.0,460,0.8846153846153846,safe,0.0,False,False,0.0002485059994796,3.2258001738227904e-05,0.0
1755016214,3,200.0,155,0.775,safe,0.0,,False,0.0001165569992735,3.1027000659378245e-05,0.0
1755016215,3,250.0,225,0.9,safe,0.0,False,False,0.0002403329999651,3.382299837539904e-05,0.0
1755016216,3,62.0,61,0.9838709677419356,safe,0.0,False,False,0.0001891810024972,2.651699833222665e-05,0.0
1755016217,3,640.0,620,0.96875,safe,0.0,,False,0.000183067000762,3.681100133690052e-05,0.0
1755016218,3,2140.0,2080,0.97196261682243,safe,0.0,False,False,0.0007102509989636,3.840999852400273e-05,0.0
1755016219,3,114.0,108,0.9473684210526316,safe,0.0,False,False,0.0003070930033572,3.141499837511219e-05,0.0
1755016220,3,244.0,222,0.9098360655737704,safe,0.0,False,False,0.0005122239999764,3.439599822741002e-05,0.0
1755016221,3,80.0,62,0.775,safe,0.0,,False,0.0001501070000813,3.396499960217625e-05,0.0
1755016222,3,44.0,42,0.9545454545454546,safe,0.0,False,False,0.0002420820019324,3.130000186502002e-05,0.0
1755016223,3,2024.0,2012,0.9940711462450592,safe,0.0,False,False,0.015503988997807,4.984199767932296e-05,0.0
1755016224,3,2240.0,2120,0.9464285714285714,safe,0.0,False,False,0.0005734160004067,3.868299972964451e-05,0.0
1755016225,3,46.0,43,0.9347826086956522,safe,0.0,False,False,0.000216382999497,3.0572999094147235e-05,0.0
1755016226,3,230.0,215,0.9347826086956522,safe,0.0,False,False,0.0002313020013389,5.3850999393034726e-05,0.0
1755016227,3,70.0,55,0.7857142857142857,safe,0.0,False,False,7.745900074951351e-05,3.412499791011214e-05,0.0
1755016228,3,64.0,52,0.8125,safe,0.0,False,False,0.0001198360005219,3.450599979260005e-05,0.0
1755016229,3,260.0,230,0.8846153846153846,safe,0.0,False,False,0.0001621619994693,3.314499917905778e-05,0.0
1755016230,3,304.0,252,0.8289473684210527,safe,0.0,False,False,0.0003821569989668,2.929000038420781e-05,0.0
1755016231,3,2140.0,2080,0.97196261682243,safe,0.0,False,False,0.0007057570001052,3.813700095633976e-05,0.0
1755016232,3,3020.0,3010,0.9966887417218544,safe,0.0,False,False,0.0009124310017796,4.361099854577333e-05,0.0
1755016233,3,250.0,225,0.9,safe,0.0,False,False,0.0002277150015288,3.491999814286828e-05,0.0
1755016234,3,2044.0,2022,0.9892367906066536,safe,0.0,False,False,0.0169646510003076,4.15579997934401e-05,0.0
1755016235,3,424.0,412,0.9716981132075472,safe,0.0,False,False,0.0012518990006356,3.818499681074172e-05,0.0
1755016236,3,602.0,501,0.8322259136212624,safe,0.0,False,False,0.0019199029993615,3.979199755121954e-05,0.0
1755016237,3,34.0,28,0.8235294117647058,safe,0.0,False,False,8.45180002215784e-05,3.4274002246093005e-05,0.0
1755016238,3,504.0,452,0.8968253968253969,safe,0.0,False,False,0.0008115200034808,4.191500192973763e-05,0.0
1755016239,3,144.0,132,0.9166666666666666,safe,0.0,False,False,0.0005280149998725,3.5143002605764195e-05,0.0
1755016240,3,62.0,51,0.8225806451612904,safe,0.0,False,False,0.0002445339996484,3.494100019452162e-05,0.0
1755016241,3,2500.0,2250,0.9,safe,0.0,False,False,0.0002846770003088,3.76110001525376e-05,0.0
1755016242,3,450.0,425,0.9444444444444444,safe,0.0,False,False,0.0005143700000189,3.470599767751992e-05,0.0
1755016243,3,2044.0,2022,0.9892367906066536,safe,0.0,False,False,0.0073475389981467,4.59789989690762e-05,0.0
1755016244,3,408.0,404,0.9901960784313726,safe,0.0,False,False,0.0075967049997416,5.1331000577192754e-05,0.0
1755016245,3,424.0,412,0.9716981132075472,safe,0.0,False,False,0.0012534789966593,4.127200008952059e-05,0.0
1755016246,3,16.0,14,0.875,safe,0.0,False,False,0.0001195119984913,3.1804000172996894e-05,0.0
1755016247,3,600.0,500,0.8333333333333334,safe,0.0,False,False,9.497300197836012e-05,3.543599814292975e-05,0.0
1755016248,3,406.0,403,0.9926108374384236,safe,0.0,False,False,0.0085809219999646,5.519899787032045e-05,0.0
1755016249,3,46.0,43,0.9347826086956522,safe,0.0,False,False,0.0002326119974895,3.4894997952505946e-05,0.0
1755016250,3,2012.0,2006,0.9970178926441352,safe,0.0,False,False,0.0859254530005273,5.750799755332992e-05,0.0
1755016251,3,160.0,140,0.875,safe,0.0,False,False,0.0001544219994684,3.7065998185426e-05,0.0
1755016252,3,2404.0,2202,0.9159733777038268,safe,0.0,False,False,0.004948495003191,4.336900019552559e-05,0.0
1755016253,3,2240.0,2120,0.9464285714285714,safe,0.0,False,False,0.0005468130002554,3.500799721223302e-05,0.0
1755016254,3,502.0,451,0.898406374501992,safe,0.0,False,False,0.0018040100003418,3.9926999306771904e-05,0.0
1755016255,3,124.0,112,0.9032258064516128,safe,0.0,False,False,0.0002508970028429,3.373599975020625e-05,0.0
1755016256,3,80.0,65,0.8125,safe,0.0,,False,6.247300188988447e-05,3.06330002786126e-05,0.0
1755016257,3,200.0,160,0.8,safe,0.0,,False,7.665500015718862e-05,3.226399712730199e-05,0.0
1755016258,3,412.0,406,0.9854368932038836,safe,0.0,False,False,0.0031131169998843,4.416500087245368e-05,0.0
1755016259,3,2110.0,2055,0.9739336492890996,safe,0.0,False,False,0.0026597379983286,4.030100171803497e-05,0.0
1755016260,3,422.0,411,0.9739336492890996,safe,0.0,False,False,0.0023026509988994,3.3560001611476764e-05,0.0
1755016261,3,108.0,104,0.9629629629629628,safe,0.0,False,False,0.0004625750007107,3.716699939104728e-05,0.0
1755016262,3,3010.0,3005,0.9983388704318936,safe,0.0,False,False,0.0017037510006048,4.013999932794832e-05,0.0
1755016263,3,160.0,155,0.96875,safe,0.0,,False,0.0001188589994853,3.246200139983557e-05,0.0
1755016264,3,422.0,411,0.9739336492890996,safe,0.0,False,False,0.005401227997936,4.19509997300338e-05,0.0
1755016265,3,4.0,4,1.0,safe,0.0,,False,9.539999882690609e-05,3.292400288046338e-05,0.0
1755016266,3,2600.0,2300,0.8846153846153846,safe,0.0,False,False,0.000182338997547,3.707299765665084e-05,0.0
1755016267,3,260.0,240,0.9230769230769232,safe,0.0,False,False,7.560799713246524e-05,3.1162999221123755e-05,0.0
1755016268,3,242.0,221,0.9132231404958676,safe,0.0,False,False,0.0013159769987396,5.5050000810297206e-05,0.0
1755016269,3,2102.0,2051,0.9757373929590866,safe,0.0,False,False,0.013436017998174,5.557599797612056e-05,0.0
1755016270,3,2050.0,2025,0.9878048780487804,safe,0.0,False,False,0.004056894002133,4.814000203623437e-05,0.0
1755016271,3,32.0,31,0.96875,safe,0.0,False,False,0.0001632729981793,3.58949982910417e-05,0.0
1755016272,3,64.0,52,0.8125,safe,0.0,False,False,0.0001561860008223,3.1179999496089295e-05,0.0
1755016273,3,350.0,300,0.8571428571428571,safe,0.0,False,False,8.594500104663894e-05,3.141699926345609e-05,0.0
1755016274,3,520.0,460,0.8846153846153846,safe,0.0,False,False,0.0002154750000045,3.188800110365264e-05,0.0
1755016275,3,2012.0,2006,0.9970178926441352,safe,0.0,False,False,0.0630001339995942,7.636000009370036e-05,0.0
1755016276,3,250.0,225,0.9,safe,0.0,False,False,0.000160871000844,2.6357000024290755e-05,0.0
1755016277,3,2030.0,2015,0.9926108374384236,safe,0.0,False,False,0.0078850860008969,5.232299736235291e-05,0.0
1755016278,3,200.0,152,0.76,safe,0.0,,False,0.0001621400006115,2.876000144169666e-05,0.0
