seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,added
1755016103,5,0.05,2470.25,2314.2003871774214,0.9368284129854959,safe,0.0,False
1755016104,5,0.05,3595.5,3565.6905636712754,0.9917092375667572,safe,0.0,False
1755016105,5,0.05,455.1,441.17678527446697,0.9694062519764161,safe,0.0,False
1755016106,5,0.05,787.6,783.0393365761556,0.9942094166787145,safe,0.0,False
1755016097,5,0.1,2942.1,2792.1793920815107,0.9490429938076581,safe,0.0,False
1755016098,5,0.1,86.1,77.58162294087788,0.9010641456547954,safe,0.0,False
1755016099,5,0.1,2637.6000000000004,2433.5681168579613,0.9226448729367459,safe,0.0,False
1755016100,5,0.1,4253.5,4240.838162879241,0.9970231956927804,safe,0.0,False
1755016101,5,0.1,2127.3,2076.472060180353,0.9761068303390931,safe,0.0,False
1755016102,5,0.1,558.6,527.1442936306082,0.943688316560344,safe,0.0,False
1755016103,5,0.1,2530.5,2415.4841835807892,0.9545481855683814,safe,0.0,False
1755016104,5,0.1,3647.0,3603.804027920347,0.9881557521031936,safe,0.0,False
1755016105,5,0.1,466.2,451.11357789277827,0.9676395922196016,safe,0.0,False
1755016106,5,0.1,798.1999999999999,792.8658720870444,0.9933173040429021,safe,0.0,False
1755016097,5,0.2,3082.2,2890.307206092275,0.9377416151100757,safe,0.0,False
1755016098,5,0.2,90.2,77.77765240352755,0.8622799601278,safe,0.0,True
1755016099,5,0.2,2763.2,2652.0086833883543,0.9597599462175573,safe,0.0,False
1755016100,5,0.2,4354.0,4334.979502977105,0.9956314889703961,safe,0.0,False
1755016101,5,0.2,2228.6,2178.150701843935,0.9773627846378602,safe,0.0,False
1755016102,5,0.2,585.2,529.9537426475245,0.9055942287209918,safe,0.0,False
1755016103,5,0.2,2651.0,2518.417655538302,0.9499877991468509,safe,0.0,False
1755016104,5,0.2,3750.0,3716.102353499997,0.9909606275999993,safe,0.0,False
1755016105,5,0.2,488.4,471.14293228287715,0.9646661185153096,safe,0.0,False
1755016106,5,0.2,819.4,813.8401529679613,0.9932147339125719,safe,0.0,False
1755016097,5,0.3,3222.3,3007.1578266192805,0.93323335090441,safe,0.0,False
1755016098,5,0.3,94.3,81.84494507342015,0.8679209445749752,safe,0.0,True
1755016099,5,0.3,2888.8,2667.729495819658,0.9234732400372674,safe,0.0,False
1755016100,5,0.3,4454.5,4434.053132524801,0.9954098400549559,safe,0.0,False
1755016101,5,0.3,2329.9,2236.01837115513,0.9597057260634061,safe,0.0,False
1755016102,5,0.3,611.8,548.362356165725,0.8963098335497304,safe,0.0,False
1755016103,5,0.3,2771.5,2620.8024453204416,0.9456259950642041,safe,0.0,False
1755016104,5,0.3,3853.0,3727.888683072913,0.9675288562348593,safe,0.0,False
1755016105,5,0.3,510.6,491.5155892223702,0.9626235589940662,safe,0.0,False
1755016106,5,0.3,840.5999999999999,830.8947769611113,0.9884544098990143,safe,0.0,False
1755016097,5,0.4,3362.4,3026.3462875725745,0.9000554031562499,safe,0.0,False
1755016098,5,0.4,98.4,83.06573133222264,0.8441639363030755,safe,0.0,True
1755016099,5,0.4,3014.3999999999996,2846.3747948399396,0.9442591543391521,safe,0.0,False
1755016100,5,0.4,4555.0,4515.357376930013,0.9912968994357877,safe,0.0,False
1755016101,5,0.4,2431.2,2286.986463257447,0.9406821582993778,safe,0.0,False
1755016102,5,0.4,638.4,571.4446408413764,0.8951200514432589,safe,0.0,False
1755016103,5,0.4,2892.0,2748.3028913403978,0.9503122030914238,safe,0.0,False
1755016104,5,0.4,3956.0,3769.157452294833,0.9527698312170964,safe,0.0,False
1755016105,5,0.4,532.8,510.3750480284398,0.9579111261795041,safe,0.0,False
1755016106,5,0.4,861.8000000000001,844.9744592255811,0.98047628130144,safe,0.0,False
1755016097,5,0.5,3502.5,3099.9188189963606,0.885058906208811,safe,0.0,False
1755016098,5,0.5,102.5,84.4409750130867,0.8238143903715776,safe,0.0,True
1755016099,5,0.5,3140.0,2898.1487536718487,0.922977310086576,safe,0.0,True
1755016100,5,0.5,4655.5,4601.576794451103,0.9884173116638605,safe,0.0,False
1755016101,5,0.5,2532.5,2366.3803933303793,0.9344048937138714,safe,0.0,False
1755016102,5,0.5,665.0,590.3855154764135,0.8877977676337045,safe,0.0,True
1755016103,5,0.5,3012.5,2830.555243810697,0.9396034004350862,safe,0.0,False
1755016104,5,0.5,5059.0,4476.377744774263,0.8848345018332207,safe,0.0,True
1755016105,5,0.5,555.0,530.9765686536193,0.9567145381146294,safe,0.0,False
1755016106,5,0.5,883.0,862.4196216685887,0.9766926632713349,safe,0.0,False
1755016097,8,0,904,641.0,0.709070796460177,safe,0.0,False
1755016098,8,0,436,363.0,0.8325688073394495,safe,0.0,False
1755016099,8,0,2357,1815.0,0.7700466694951209,safe,0.0,False
1755016100,8,0,884,685.0,0.7748868778280543,safe,0.0,False
1755016101,8,0,3426,2140.0,0.6246351430239346,safe,0.0,False
1755016102,8,0,1013,595.0,0.5873642645607108,safe,0.0,True
1755016103,8,0,5094,4537.0,0.8906556733411857,safe,0.0,False
1755016104,8,0,572,572.0,1.0,safe,0.0,False
1755016105,8,0,2576,1834.0,0.7119565217391305,safe,0.0,False
1755016106,8,0,1032,884.0,0.8565891472868217,safe,0.0,False
1755016097,8,0.02,913.0400000000001,781.3508877361583,0.8557685180672897,safe,0.0,False
1755016098,8,0.02,440.35999999999996,363.3374910659263,0.8250919499180814,safe,0.0,False
1755016099,8,0.02,2381.56,2288.0076792061636,0.9607180500202236,safe,0.0,False
1755016100,8,0.02,889.12,875.7666261398147,0.9849813592538855,safe,0.0,False
1755016101,8,0.02,3460.26,3103.5756849430804,0.8969197935828753,safe,0.0,False
1755016102,8,0.02,1019.12,994.6167063696739,0.9759564196264168,safe,0.0,True
1755016103,8,0.02,5115.02,5106.777391587594,0.998388548155744,safe,0.0,False
1755016104,8,0.02,574.0,573.953536705947,0.9999190534946812,safe,0.0,False
1755016105,8,0.02,2601.7599999999998,2505.423272750237,0.9629724773807874,safe,0.0,False
1755016106,8,0.02,1039.36,993.9819959042072,0.9563404363302487,safe,0.0,False
1755016097,8,0.05,926.6,781.8518529220182,0.843785725147872,safe,0.0,False
1755016098,8,0.05,446.9,363.924510664885,0.8143309703846163,safe,0.0,False
1755016099,8,0.05,2416.9,2302.0358634526146,0.9524746011223528,safe,0.0,False
1755016100,8,0.05,896.8,881.8646701604247,0.983345974755157,safe,0.0,False
1755016101,8,0.05,3511.65,3099.3464880659867,0.8825898048114096,safe,0.0,False
1755016102,8,0.05,1028.3,996.832573202071,0.969398593019616,safe,0.0,True
1755016103,8,0.05,5146.55,5124.109987479005,0.9956397951013796,safe,0.0,False
1755016104,8,0.05,677.0,576.9659858209252,0.8522392700456798,safe,0.0,True
1755016105,8,0.05,2640.4,2544.426594539186,0.9636519446065696,safe,0.0,False
1755016106,8,0.05,1050.3999999999999,994.0621565782909,0.946365343277124,safe,0.0,False
1755016097,8,0.1,949.1999999999999,802.6593485019134,0.845616675623592,safe,0.0,False
1755016098,8,0.1,457.8,403.27615096137606,0.880900286066789,safe,0.0,False
1755016099,8,0.1,2475.8,2338.0935254872848,0.9443789989043075,safe,0.0,False
1755016100,8,0.1,909.6,887.3497947374229,0.975538472666472,safe,0.0,False
1755016101,8,0.1,3597.3,3108.217862779809,0.864041882183807,safe,0.0,False
1755016102,8,0.1,1043.6,1002.20796545562,0.9603372608811998,safe,0.0,True
1755016103,8,0.1,5199.1,5182.6878069202585,0.9968432626647417,safe,0.0,False
1755016104,8,0.1,682.0,581.8602206911091,0.8531674790192216,safe,0.0,True
1755016105,8,0.1,2704.8,2588.5505986441785,0.957021073145585,safe,0.0,False
1755016106,8,0.1,1068.8,992.0776889628014,0.9282164006014235,safe,0.0,False
1755016097,8,0.2,994.4,824.8667506951388,0.8295120179959159,safe,0.0,False
1755016098,8,0.2,479.6,405.08795921329875,0.8446371126215569,safe,0.0,False
1755016099,8,0.2,2593.6,2422.8785654749945,0.9341758811979467,safe,0.0,False
1755016100,8,0.2,935.2,905.2941794550588,0.9680220054053238,safe,0.0,False
