seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1756843627,3,11.008719012024542,9.265882863820195,0.8416858358996454,safe,0.148,1.4495999948849203e-05,2.563499992902507e-05
1756843628,3,0,13.221617544373132,,,0.148,1.5272000382537954e-05,2.3614000383531675e-05
1756843629,3,268.3296282796198,263.83257493499457,0.9832405635804818,safe,0.148,1.6973000128928106e-05,0.00043358700031603803
1756843630,3,1512.9105130278754,1449.7103104540174,0.958226080108749,safe,0.148,1.6264999885606812e-05,0.0002646560001267062
1756843631,3,67.99523207852278,61.99523207852272,0.9117585186992069,safe,0.148,1.5529999927821336e-05,0.00023676699993302464
1756843632,3,420.05532957973037,361.731464949585,0.8611519470815928,safe,0.148,1.5082000118127326e-05,1.90760001714807e-05
1756843633,3,336.5930940807902,292.4236157109769,0.8687748526438526,safe,0.148,1.4031000318937004e-05,0.0001422280001861509
1756843634,3,92.08530776731851,85.60262165841164,0.9296012983386301,safe,0.148,1.5747999896120746e-05,0.00036925499989592936
1756843635,3,144.6069973487822,133.60699734877787,0.9239317584786504,safe,0.148,5.2058000164834084e-05,0.0005012960000385647
1756843636,3,1355.1046163054325,1337.8791627118426,0.98728846954964,safe,0.148,2.0587000108207576e-05,0.0028439969996725267
1756843637,3,203.9502234787759,148.39870861521194,0.7276221917484442,safe,0.148,1.2736999906337587e-05,2.446000007694238e-05
1756843638,3,1233.2319494108276,1192.155380761719,0.9666919360394994,safe,0.148,1.530500003354973e-05,0.0006114539996815438
1756843639,3,283.9493114690191,276.38802867300666,0.9733710120412198,safe,0.148,1.6247999610641273e-05,0.0002659910001057142
1756843640,3,1285.3746804963505,1201.212138070915,0.9345229498429704,safe,0.148,2.121700026691542e-05,0.001048773000093206
1756843641,3,406.98000222069186,318.9647686177533,0.783735728727008,safe,0.148,1.5795999843248865e-05,2.4779999876045622e-05
1756843642,3,9.334794979644112,7.822222349752561,0.8379640224354218,safe,0.148,1.3284000033308985e-05,2.912800027843332e-05
1756843643,3,1450.6817956538764,1376.9761736626897,0.949192426476983,safe,0.148,3.05509997815534e-05,0.004412775000218971
1756843644,3,43.453682517754146,42.45368251775412,0.9769869906977054,safe,0.148,1.4047000149730593e-05,6.934499970157049e-05
1756843645,3,120.97884126127983,117.97884126126223,0.9752022753008648,safe,0.148,1.882700007627136e-05,0.0011677820002660155
