seeds,num_tasks,per_jitter,max_reaction_time,final_e2e_max_write,R_write,exceed_write,false_percentage_write,final_e2e_max_read,R_read,exceed_read,false_percentage_read
1753194922,3,0.02,245.31330158571666,262.6,0.9341709885213886,safe,0.03,262.6,0.9341709885213886,safe,0.01
1753194923,3,0.02,2027.173163346784,2040.2000000000003,0.9936149217462914,safe,0.03,2040.2000000000003,0.9936149217462914,safe,0.01
1753194924,3,0.02,598.5254213593821,626.2000000000002,0.9558055275620919,safe,0.03,626.1999999999999,0.9558055275620922,safe,0.01
1753194925,3,0.02,1562.803433963157,2224.02,0.7026930665925473,safe,0.03,2224.02,0.7026930665925473,safe,0.01
1753194926,3,0.02,2260.280685409176,2444.2,0.92475275567023,safe,0.03,2444.2,0.92475275567023,safe,0.01
1753194927,3,0.02,38.34709321105149,38.690776095971124,0.9911171881363365,safe,0.03,38.690776095971124,0.9911171881363365,safe,0.01
1753194928,3,0.02,489.7706373026758,507.02000000000004,0.9659789304222236,safe,0.03,507.02,0.9659789304222237,safe,0.01
1753194929,3,0.02,214.27332928243777,224.22000000000003,0.9556387890573443,safe,0.03,224.22,0.9556387890573445,safe,0.01
1753194930,3,0.02,44.31092795252994,0,,,0.03,44.43574498594837,0.9971910669336611,safe,0.01
1753194931,3,0.02,2231.795299288562,2323.0000000000005,0.9607383983162125,safe,0.03,2323.0000000000005,0.9607383983162125,safe,0.01
1753194932,3,0.02,212.28164700193702,216.14000000000001,0.9821488248447164,safe,0.03,216.14000000000001,0.9821488248447164,safe,0.01
1753194933,3,0.02,53.34086467873385,54.540000000000006,0.9780136538088348,safe,0.03,54.54,0.9780136538088349,safe,0.01
1753194934,3,0.02,2222.5794691953633,2323.0,0.9567711877724336,safe,0.03,2323.0000000000005,0.9567711877724334,safe,0.01
1753194935,3,0.02,29.556158778163848,34.34,0.8606918689040142,safe,0.03,34.34,0.8606918689040142,safe,0.01
1753194936,3,0.02,115.21651462551745,121.20000000000002,0.9506313087913979,safe,0.03,121.20000000000002,0.9506313087913979,safe,0.01
1753194937,3,0.02,2402.356917846919,2426.0200000000004,0.9902461306365645,safe,0.03,2426.0200000000004,0.9902461306365645,safe,0.01
1753194938,3,0.02,321.88988418796816,343.40000000000003,0.937361340093093,safe,0.03,343.40000000000003,0.937361340093093,safe,0.01
1753194939,3,0.02,15.253159655275681,16.16,0.9438836420343862,safe,0.03,16.16,0.9438836420343862,safe,0.01
1753194940,3,0.02,166.01212831773685,166.7130262467967,0.9957957818603673,safe,0.03,166.7130262467967,0.9957957818603673,safe,0.01
1753194941,3,0.02,3311.827606266539,3313.6124035758526,0.9994613741464188,safe,0.03,3313.612403575852,0.9994613741464189,safe,0.01
1753194942,3,0.02,112.20196627069163,115.14000000000001,0.9744829448557548,safe,0.03,115.14000000000001,0.9744829448557548,safe,0.01
1753194943,3,0.02,411.1689096003138,411.96977096707593,0.9980560190984834,safe,0.03,411.9697709670759,0.9980560190984836,safe,0.01
1753194944,3,0.02,2335.9333713224405,2525.0,0.9251221272564121,safe,0.03,2525.0,0.9251221272564121,safe,0.01
1753194945,3,0.02,5.058715929733921,5.058847944395946,0.9999739042043809,safe,0.03,5.058847944395946,0.9999739042043809,safe,0.01
1753194946,3,0.02,581.7186641240842,616.1000000000001,0.9441952022789872,safe,0.03,616.1,0.9441952022789875,safe,0.01
1753194947,3,0.02,112.73699860527279,115.14000000000001,0.979129742967455,safe,0.03,115.14000000000001,0.979129742967455,safe,0.01
1753194948,3,0.02,434.6011898352299,454.50000000000006,0.9562182394614518,safe,0.03,454.5,0.9562182394614519,safe,0.01
1753194949,3,0.02,431.57963796651893,448.44,0.9624021897389148,safe,0.03,448.44000000000005,0.9624021897389147,safe,0.01
1753194950,3,0.02,2057.4481755926645,2070.5,0.9936962934521442,safe,0.03,2070.5,0.9936962934521442,safe,0.01
1753194951,3,0.02,413.3635349920228,418.14,0.9885768761467996,safe,0.03,418.14,0.9885768761467996,safe,0.01
1753194952,3,0.02,3988.2871554695503,4024.67986304399,0.9909576143164553,safe,0.03,4024.67986304399,0.9909576143164553,safe,0.01
1753194953,3,0.02,2105.0455564991676,2131.1000000000004,0.9877741807044096,safe,0.03,2131.1000000000004,0.9877741807044096,safe,0.01
1753194954,3,0.02,55.48831662596467,64.64,0.8584207398818792,safe,0.03,64.64000000000001,0.858420739881879,safe,0.01
