seed,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1751634422,3,0.3,desc,2875.0,2702.6599371532793,0.9400556303141842,safe,0.5
1751634422,3,0.3,max_period,2875.0,2702.6599371532793,0.9400556303141842,safe,0.5
1751634422,3,0.3,min_period,2875.0,2702.6599371532793,0.9400556303141842,safe,0.3
1751634422,3,0.4,asc,3000.0,2787.6853095324477,0.9292284365108159,safe,0.5
1751634422,3,0.4,desc,3000.0,2787.6853095324477,0.9292284365108159,safe,0.6
1751634422,3,0.4,max_period,3000.0,2787.6853095324477,0.9292284365108159,safe,0.6
1751634422,3,0.4,min_period,3000.0,2787.6853095324477,0.9292284365108159,safe,0.5
1751634422,3,0.5,asc,3125.0,2916.2251394202904,0.9331920446144929,safe,0.6
1751634422,3,0.5,desc,3125.0,2916.2251394202904,0.9331920446144929,safe,0.6
1751634422,3,0.5,max_period,3125.0,2916.2251394202904,0.9331920446144929,safe,0.6
1751634422,3,0.5,min_period,3125.0,2916.2251394202904,0.9331920446144929,safe,0.6
1751634422,5,0,asc,4513.695299155571,4313.737396411722,0.9556997339228332,safe,0.1
1751634422,5,0,desc,4513.695299155572,4313.737396411722,0.955699733922833,safe,0.1
1751634422,5,0,max_period,4513.695299155571,4313.737396411722,0.9556997339228332,safe,0.1
1751634422,5,0,min_period,4513.695299155571,4313.737396411722,0.9556997339228332,safe,0.1
1751634422,5,0.02,asc,4539.71529915557,4327.97665875713,0.9533586080964537,safe,0.1
1751634422,5,0.02,desc,4539.715299155572,4327.97665875713,0.9533586080964532,safe,0.1
1751634422,5,0.02,max_period,4539.71529915557,4327.97665875713,0.9533586080964537,safe,0.1
1751634422,5,0.02,min_period,4539.71529915557,4327.97665875713,0.9533586080964537,safe,0.1
1751634422,5,0.05,asc,4578.745299155571,4352.505802035812,0.9505891936899213,safe,0.2
1751634422,5,0.05,desc,4578.745299155572,4352.505802035812,0.9505891936899211,safe,0.2
