seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust
1751037025,3,0,2080.0,1285.7773593068728,0.6181621919744581,safe,0.0,False
1751037026,3,0,422.0,419.2472030554554,0.9934767844916004,safe,0.0,False
1751037027,3,0,18.0,16.553456667178885,0.919636481509938,safe,0.0,False
1751037028,3,0,77.40002139552712,75.48303393033854,0.9752327269343706,safe,0.0,False
1751037029,3,0,2110.0,2068.738668708919,0.9804448666866914,safe,0.0,False
1751037030,3,0,2410.0,1791.9316397440703,0.7435400994788673,safe,0.0,False
1751037031,3,0,2012.0,1311.9441729471434,0.6520597281049421,safe,0.0,False
1751037032,3,0,16.0,15.387258772210043,0.9617036732631277,safe,0.0,False
1751037033,3,0,2024.0,2021.1996335447323,0.9986164197355396,safe,0.0,False
1751037034,3,0,510.0,485.84932615995507,0.9526457375685393,safe,0.0,False
