seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1755020973,5,2360,2230,0.9449152542372882,safe,0.024,7.747195195406675e-05,0.00278131797676906
1755020974,5,450,425,0.9444444444444444,safe,0.024,4.677602555602789e-05,0.0002600490115582943
1755020975,5,2144,2072,0.9664179104477612,safe,0.024,5.11409598402679e-05,0.03014064399758354
1755020976,5,630,540,0.8571428571428571,safe,0.024,5.0735019613057375e-05,0.0001767679932527244
1755020977,5,355,290,0.8169014084507042,safe,0.024,5.162897286936641e-05,0.0003508729860186577
1755020978,5,352,286,0.8125,safe,0.024,0.0001034419983625412,0.002415990980807692
1755020979,5,684,542,0.7923976608187134,safe,0.024,4.40540025010705e-05,0.0010759980068542063
1755020980,5,2314,2158,0.9325842696629213,safe,0.024,4.22910088673234e-05,0.026650187966879457
1755020981,5,2182,2101,0.962878093492209,safe,0.024,4.265399184077978e-05,0.029740166966803372
1755020982,5,800,656,0.82,safe,0.024,4.133599577471614e-05,0.008975411008577794
1755020983,5,2508,2254,0.8987240829346093,safe,0.024,4.484801320359111e-05,0.05474876699736342
1755020984,5,202,161,0.7970297029702971,safe,0.024,3.7368969060480595e-05,0.0009893769747577608
1755020985,5,2450,2225,0.9081632653061225,safe,0.024,3.912998363375664e-05,0.008927823975682259
1755020986,5,352,286,0.8125,safe,0.024,4.335801349952817e-05,0.004655411990825087
1755020987,5,2510,2255,0.898406374501992,safe,0.024,5.075696390122175e-05,0.003380079986527562
1755020988,5,642,521,0.8115264797507789,safe,0.024,4.6137021854519844e-05,0.002043615037109703
1755020989,5,2210,2105,0.9524886877828054,safe,0.024,4.398502642288804e-05,0.22155111603206024
1755020990,5,2720,2360,0.8676470588235294,safe,0.024,5.601899465546012e-05,0.0020366149838082492
1755020991,5,2444,2222,0.9091653027823241,safe,0.024,5.415896885097027e-05,0.01471188000869006
1755020992,5,2015,2008,0.9965260545905708,safe,0.024,5.759298801422119e-05,0.6473069789935835
1755020993,5,456,429,0.9407894736842105,safe,0.024,5.748699186369777e-05,0.007596282986924052
1755020994,5,2030,2015,0.9926108374384236,safe,0.024,5.741597851738334e-05,0.48437560599995777
1755020995,5,4440,3280,0.7387387387387387,safe,0.024,4.642800195142627e-05,0.0006417250260710716
1755020996,5,190,155,0.8157894736842105,safe,0.024,3.922503674402833e-05,0.00024659099290147424
1755020997,5,334,268,0.8023952095808383,safe,0.024,4.033604636788368e-05,0.0005977660184726119
1755020998,5,2132,2066,0.9690431519699813,safe,0.024,4.5231019612401724e-05,0.07452191098127514
1755020999,5,326,263,0.8067484662576687,safe,0.024,5.932501517236233e-05,0.004773926979396492
1755021000,5,2090,2045,0.9784688995215312,safe,0.024,5.708402022719383e-05,0.023345586960203946
1755021001,5,760,605,0.7960526315789473,safe,0.024,5.069299368187785e-05,0.0005770149873569608
1755021002,5,5000,4220,0.844,safe,0.024,5.481200059875846e-05,0.0007443990325555205
1755021003,5,2200,2112,0.96,safe,0.024,5.444203270599246e-05,0.02198757795849815
1755021004,5,268,234,0.8731343283582089,safe,0.024,5.329999839887023e-05,0.0011449559824541211
1755021005,5,128,114,0.890625,safe,0.024,5.087698809802532e-05,0.0004986690473742783
1755021006,5,623,512,0.8218298555377207,safe,0.024,5.2231946028769016e-05,0.012696377991233021
1755021007,5,0,450,,,0.024,5.569698987528682e-05,6.84609985910356e-05
1755021008,5,76,59,0.7763157894736842,safe,0.024,4.9664988182485104e-05,0.00029615400126203895
1755021009,5,532,466,0.8759398496240601,safe,0.024,4.821096081286669e-05,0.0045504269655793905
1755021010,5,552,486,0.8804347826086957,safe,0.024,5.644501652568579e-05,0.009423402021639049
1755021011,5,290,255,0.8793103448275862,safe,0.024,4.8412010073661804e-05,0.0003235280164517462
1755021012,5,66,53,0.803030303030303,safe,0.024,4.997698124498129e-05,0.0003169929841533303
1755021013,5,706,553,0.78328611898017,safe,0.024,4.9335998483002186e-05,0.006364529021084309
1755021014,5,2360,2190,0.9279661016949152,safe,0.024,5.8537989389151335e-05,0.0031486889929510653
1755021015,5,280,220,0.7857142857142857,safe,0.024,5.820899968966842e-05,0.0001201050472445786
1755021016,5,2070,2035,0.9830917874396136,safe,0.024,5.68280229344964e-05,0.04751102300360799
1755021017,5,742,581,0.7830188679245284,safe,0.024,4.8595014959573746e-05,0.002931581053417176
1755021018,5,2222,2111,0.95004500450045,safe,0.024,5.303800571709871e-05,0.0815442320308648
1755021019,5,412,356,0.8640776699029126,safe,0.024,5.486601730808616e-05,0.00153885199688375
1755021020,5,2402,2201,0.9163197335553706,safe,0.024,5.5451004300266504e-05,0.05039365898119286
1755021021,5,466,433,0.9291845493562232,safe,0.024,5.420699017122388e-05,0.007260198995936662
1755021022,5,310,255,0.8225806451612904,safe,0.024,4.8453977797180414e-05,0.002883641980588436
1755021023,5,2500,2250,0.9,safe,0.024,5.7419994845986366e-05,0.00053627003217116
1755021024,5,2360,2190,0.9279661016949152,safe,0.024,5.5100012104958296e-05,0.0030649739783257246
1755021025,5,2320,2160,0.9310344827586207,safe,0.024,5.592498928308487e-05,0.022229676018469036
1755021026,5,380,315,0.8289473684210527,safe,0.024,5.255499854683876e-05,0.00029239599825814366
1755021027,5,624,612,0.9807692307692307,safe,0.024,5.2543007768690586e-05,0.01895864005200565
1755021028,5,4004,3402,0.8496503496503497,safe,0.024,6.0533988289535046e-05,0.014371725032106042
1755021029,5,2208,2104,0.9528985507246377,safe,0.024,5.2859948482364416e-05,0.5287303670193069
1755021030,5,2206,2103,0.9533091568449683,safe,0.024,6.101001054048538e-05,0.3012820800067857
1755021031,5,4000,3500,0.875,safe,0.024,6.39019999653101e-05,0.00020128500182181597
1755021032,5,292,246,0.8424657534246576,safe,0.024,4.893098957836628e-05,0.005670293001458049
1755021033,5,112,106,0.9464285714285714,safe,0.024,4.897895269095898e-05,0.0013920179917477071
1755021034,5,830,620,0.7469879518072289,safe,0.024,4.925503162667155e-05,0.000972361012827605
1755021035,5,68,54,0.7941176470588235,safe,0.024,4.8365036491304636e-05,0.00034895300632342696
1755021036,5,2806,2403,0.8563791874554526,safe,0.024,5.13480044901371e-05,0.16179337195353583
1755020037,8,4660,3331,0.7148068669527897,safe,0.123,9.4949034973979e-05,0.06686043698573485
1755020038,8,2668,2334,0.8748125937031485,safe,0.123,8.72150412760675e-05,0.45625195000320673
1755020039,8,812,679,0.8362068965517241,safe,0.123,8.705101208761334e-05,0.010478344978764653
1755020040,8,858,630,0.7342657342657343,safe,0.123,7.866299711167812e-05,0.0046862890012562275
1755020041,8,0,866,,,0.123,0.00011057296069338918,0.005919307004660368
1755020042,8,4054,3099,0.7644301924025654,safe,0.123,8.096999954432249e-05,0.25800586299737915
1755020043,8,0,2228,,,0.123,6.107898661866784e-05,0.08321420202264562
1755020044,8,0,89,,,0.123,7.447198731824756e-05,0.00043380603892728686
1755020045,8,434,317,0.7304147465437788,safe,0.123,8.560402784496546e-05,0.00844884302932769
1755020046,8,630,551,0.8746031746031746,safe,0.123,8.047500159591436e-05,0.015788290998898447
1755020047,8,4580,3311,0.7229257641921397,safe,0.123,8.567998884245753e-05,0.14626553101697937
1755020048,8,2446,2223,0.9088307440719542,safe,0.123,8.30969656817615e-05,0.8472031200071797
1755020049,8,0,389,,,0.123,8.589803474023938e-05,0.003137580002658069
1755020050,8,1080,765,0.7083333333333334,safe,0.123,7.497199112549424e-05,0.001182758016511798
1755020051,8,2924,2462,0.8419972640218878,safe,0.123,8.434901246801019e-05,0.7772373039624654
1755020052,8,4410,3460,0.7845804988662132,safe,0.123,7.730803918093443e-05,0.015113216999452561
1755020053,8,1070,868,0.811214953271028,safe,0.123,7.687497418373823e-05,0.006046106980647892
1755020054,8,600,512,0.8533333333333334,safe,0.123,8.097698446363211e-05,0.013857426994945854
1755020055,8,510,415,0.8137254901960784,safe,0.123,8.510000770911574e-05,0.0005032279877923429
1755020056,8,2124,2063,0.9712806026365348,safe,0.123,8.966302266344428e-05,0.9483218779787421
1755020057,8,4210,3285,0.7802850356294537,safe,0.123,7.415097206830978e-05,0.006846019998192787
1755020058,8,2146,2073,0.9659832246039143,safe,0.123,6.233603926375508e-05,0.774853290989995
1755020059,8,4540,3520,0.775330396475771,safe,0.123,8.315901504829526e-05,0.0024119929876178503
1755020060,8,2330,2165,0.9291845493562232,safe,0.123,7.915403693914413e-05,0.5510534680215642
1755020061,8,5140,4286,0.833852140077821,safe,0.123,8.318299660459161e-05,0.07947017799597234
1755020062,8,4018,3210,0.7989049278247885,safe,0.123,7.841800106689334e-05,0.691717779962346
1755020063,8,0,931,,,0.123,7.88759789429605e-05,0.006899443978909403
1755020064,8,2612,2316,0.886676875957121,safe,0.123,8.189002983272076e-05,0.11292397999204695
1755020065,8,3144,2572,0.8180661577608143,safe,0.123,8.363596862182021e-05,0.04868204199010506
1755020066,8,2570,2295,0.8929961089494164,safe,0.123,8.749403059482574e-05,0.31071928999153897
1755020067,8,3032,2516,0.8298153034300791,safe,0.123,8.953898213803768e-05,0.0977701970259659
1755020068,8,2590,2305,0.88996138996139,safe,0.123,8.701701881363988e-05,0.3890847890288569
1755020069,8,2634,2317,0.8796507213363706,safe,0.123,8.310202974826097e-05,0.4174098880030215
1755020070,8,0,613,,,0.123,7.408700184896588e-05,0.010298328008502722
1755020071,8,4464,3392,0.7598566308243727,safe,0.123,8.229899685829878e-05,0.02962552401004359
1755020072,8,818,615,0.7518337408312958,safe,0.123,7.608998566865921e-05,0.025152033020276576
1755020073,8,2386,2203,0.9233025984911987,safe,0.123,8.159095887094736e-05,0.2435924590099603
1755020074,8,4114,3558,0.8648517258142927,safe,0.123,9.573501301929355e-05,0.036604526976589113
1755020075,8,776,599,0.7719072164948454,safe,0.123,8.352304575964808e-05,0.013030159985646605
1755020076,8,0,392,,,0.123,0.00012803799472749233,0.0013174900086596608
1755020077,8,2432,2216,0.9111842105263158,safe,0.123,0.0005856210482306778,0.5629895139718428
1755020078,8,2874,2437,0.8479471120389701,safe,0.123,9.56220319494605e-05,0.44705671403789893
1755020079,8,2950,2475,0.8389830508474576,safe,0.123,8.273299317806959e-05,0.033887876954395324
1755020080,8,422,339,0.8033175355450237,safe,0.123,8.575699757784605e-05,0.003015743975993246
1755020081,8,4120,3078,0.7470873786407767,safe,0.123,7.652799831703305e-05,0.09492052003042772
1755020082,8,4008,3407,0.8500499001996008,safe,0.123,8.963700383901596e-05,0.540878658008296
1755020083,8,0,2210,,,0.123,0.00011400500079616904,0.4609698519925587
1755020084,8,302,253,0.8377483443708609,safe,0.123,8.39830026961863e-05,0.004857448977418244
1755020085,8,0,685,,,0.123,0.00011585699394345284,0.0011993980151601136
1755020086,8,0,412,,,0.123,9.219301864504814e-05,0.0011988660553470254
1755020087,8,574,462,0.8048780487804879,safe,0.123,8.33069789223373e-05,0.001081877970136702
1755020088,8,2358,2190,0.9287531806615776,safe,0.123,8.753698784857988e-05,0.6002856090199202
1755020089,8,4450,3725,0.8370786516853933,safe,0.123,9.509199298918247e-05,0.00735991500550881
1755020090,8,0,2442,,,0.123,8.31540091894567e-05,0.03886515699559823
1755020091,8,0,2243,,,0.123,9.766500443220139e-05,0.31071717699524015
