seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G
1755016059,3,0,1555.889510105094,,,0.142,4.739900032291189e-05,6.713699985994026e-05
1755016060,3,80.4798465884322,76.61226626257988,0.9519434928146567,safe,0.142,5.3851003031013533e-05,0.0006339370011119172
1755016061,3,0,15.727296176307057,,,0.142,7.947999984025955e-05,3.5592001950135455e-05
1755016062,3,0,7.939640896441009,,,0.142,4.147300205659121e-05,6.500599920400418e-05
1755016063,3,9.513759343669715,7.4665601443422815,0.7848170081483506,safe,0.142,2.811299782479182e-05,0.0001382490008836612
1755016064,3,1259.9278051657254,1248.7513242271416,0.9911292687622576,safe,0.142,4.8591002268949524e-05,0.04412399400098366
1755016065,3,0,70.2495170827753,,,0.142,2.8328999178484082e-05,0.0016827309991640504
1755016066,3,0,22.706162185785438,,,0.142,3.677800123114139e-05,0.0004560819979815278
1755016067,3,1079.328504978851,1040.9628712849112,0.9644541643096033,safe,0.142,3.728000228875317e-05,0.00842848400134244
1755016068,3,387.1076992401293,385.10769924012845,0.9948334791482403,safe,0.142,3.634599852375686e-05,0.0007258280020323582
1755016069,3,1522.093839425217,1519.1395380282343,0.9980590543628385,safe,0.142,5.2349001634866e-05,0.0006528140002046712
1755016070,3,1240.8843363400085,1234.248219936444,0.9946521072035305,safe,0.142,6.403600127669051e-05,0.09601146099885227
1755016071,3,1348.7642464437217,1130.6355063416527,0.8382751168877677,safe,0.142,5.0396000006003305e-05,0.0005747249997511972
1755016072,3,1615.8733113299018,1419.279528689011,0.8783358934995408,safe,0.142,5.842300015501678e-05,0.009893186997942394
1755016073,3,68.75936189023899,56.7593618902381,0.8254783105876321,safe,0.142,3.8752001273678616e-05,0.0003017489980265964
1755016074,3,335.78337423123617,269.97920111344075,0.8040278996288852,safe,0.142,5.18790002388414e-05,0.00011900100071216002
1755016075,3,179.89876318144007,131.5181829004763,0.7310677437389123,safe,0.142,3.6858000385109335e-05,0.000192137998965336
1755016076,3,131.9399571559894,128.93995715597202,0.9772623846127937,safe,0.142,5.7509998441673815e-05,0.009006231000967091
1755016077,3,239.50453300711746,218.3995519162662,0.9118806611888883,safe,0.142,5.41320005140733e-05,0.0019414839989622124
1755016078,3,287.006602235237,271.8308933120248,0.947124181795742,safe,0.142,5.701600093743764e-05,0.00425078999978723
1755016079,3,0,237.84948587005908,,,0.142,0.00011994700253126211,0.011427489997004159
1755016080,3,17.066748183541414,13.46250329753067,0.7888147849110146,safe,0.142,4.5049000618746504e-05,0.0003939439993700944
1755016081,3,0,1481.6290830230814,,,0.142,4.7146997530944645e-05,0.00025384000036865473
1755016082,3,72.05704315517045,57.71306529890069,0.8009357971380968,safe,0.142,4.521200025919825e-05,0.00019551700097508729
1755016083,3,188.3880470896709,138.38804708967047,0.7345903799501626,safe,0.142,4.843499846174382e-05,5.206599962548353e-05
1755016084,3,254.85690549222426,248.30924346491616,0.974308477085751,safe,0.142,4.7409001126652583e-05,0.0039323109995166305
1755016085,3,298.12071164019335,273.68700074700996,0.9180408809614247,safe,0.142,4.579999949783087e-05,0.0007540859987784643
1755016086,3,0,1.5,,,0.142,3.1010000384412706e-05,2.901900006690994e-05
1755016087,3,165.0162631529534,148.47654816743767,0.8997691823248652,safe,0.142,5.253899871604517e-05,0.00018736299898591824
1755016088,3,504.9668385011005,471.57521516315126,0.9338736313119769,safe,0.142,4.391399852465838e-05,5.3345000196713954e-05
