seeds,num_tasks,per_jitter,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1756835624,10,0,0,902,,,0.1751,3.6052893847227097e-05,0.008835852844640613
1756835625,10,0,0,324,,,0.1751,7.280404679477215e-05,0.0037816818803548813
1756835626,10,0,4456,3289,0.7381059245960503,safe,0.1751,5.715084262192249e-05,0.07741080084815621
1756835627,10,0,2522,2265,0.8980967486122126,safe,0.1751,3.620889037847519e-05,0.17215977981686592
1756835628,10,0,5004,3522,0.7038369304556354,safe,0.1751,3.3877789974212646e-05,0.12990262196399271
1756835629,10,0,936,668,0.7136752136752137,safe,0.1751,3.020581789314747e-05,0.009837755002081394
1756835630,10,0,2908,2454,0.843878954607978,safe,0.1751,3.392389044165611e-05,0.043108996003866196
1756835631,10,0,4240,3223,0.7601415094339623,safe,0.1751,3.344588913023472e-05,0.2859271429479122
1756835632,10,0,0,351,,,0.1751,3.546709194779396e-05,0.0012226579710841179
1756835633,10,0,3376,2699,0.7994668246445498,safe,0.1751,4.4248998165130615e-05,0.07778832106851041
1756835634,10,0,4644,3402,0.7325581395348837,safe,0.1751,4.02890145778656e-05,0.11294202692806721
1756835635,10,0,3096,2549,0.8233204134366925,safe,0.1751,3.213598392903805e-05,0.10939107299782336
1756835636,10,0,3242,2631,0.811536088834053,safe,0.1751,4.109693691134453e-05,0.03529529506340623
1756835637,10,0,839,642,0.7651966626936829,safe,0.1751,4.244293086230755e-05,0.0028052530251443386
1756835638,10,0,4760,3791,0.7964285714285714,safe,0.1751,3.5353004932403564e-05,0.022751948097720742
1756835639,10,0,0,234,,,0.1751,2.584606409072876e-05,0.0006927219219505787
1756835640,10,0,2994,2508,0.8376753507014028,safe,0.1751,3.375089727342129e-05,0.036425325786694884
1756835641,10,0,4414,3687,0.8352967829632986,safe,0.1751,3.690505400300026e-05,0.10588139202445745
1756835642,10,0,756,579,0.7658730158730159,safe,0.1751,2.9254937544465065e-05,0.0037990030832588673
1756835643,10,0,0,4603,,,0.1751,3.1567877158522606e-05,0.05301535711623728
1756835644,10,0,1166,893,0.7658662092624356,safe,0.1751,3.082794137299061e-05,0.003683426883071661
1756835645,10,0,0,1263,,,0.1751,3.0186958611011505e-05,0.005366693018004298
1756835646,10,0,3650,3325,0.910958904109589,safe,0.1751,6.0820020735263824e-05,0.11374915391206741
1756835647,10,0,2419,2222,0.9185613890037205,safe,0.1751,3.6618905141949654e-05,0.12759148515760899
1756835648,10,0,4820,3455,0.716804979253112,safe,0.1751,3.122887574136257e-05,0.004727967083454132
1756835649,10,0,3912,3456,0.8834355828220859,safe,0.1751,3.1368108466267586e-05,0.038310721050947905
1756835650,10,0,4664,3362,0.7208404802744426,safe,0.1751,3.514206036925316e-05,0.027823164127767086
1756835651,10,0,2562,2291,0.8942232630757221,safe,0.1751,6.987201049923897e-05,0.21275214198976755
1756835652,10,0,1404,1123,0.7998575498575499,safe,0.1751,2.9348069801926613e-05,0.0028944569639861584
1756835653,10,0,4390,3252,0.7407744874715262,safe,0.1751,3.6075012758374214e-05,0.03056433890014887
1756835654,10,0,0,835,,,0.1751,3.978190943598747e-05,0.0005016690120100975
1756835655,10,0,5440,4361,0.8016544117647059,safe,0.1751,3.4329015761613846e-05,0.022268460132181644
1756835656,10,0,4876,3440,0.7054963084495488,safe,0.1751,4.198797978460789e-05,0.15083008585497737
1756835657,10,0,0,905,,,0.1751,3.2147159799933434e-05,0.004251189064234495
1756835658,10,0,490,345,0.7040816326530612,safe,0.1751,2.936599776148796e-05,0.001788250869140029
1756835659,10,0,0,832,,,0.1751,2.1284911781549454e-05,0.001159544801339507
1756835660,10,0,0,745,,,0.1751,2.599298022687435e-05,0.0005426399875432253
1756835661,10,0,2360,2190,0.9279661016949152,safe,0.1751,3.654090687632561e-05,0.014247450977563858
1756835662,10,0,2296,2149,0.9359756097560976,safe,0.1751,2.9407907277345657e-05,0.0946761560626328
1756835663,10,0,2674,2337,0.8739715781600599,safe,0.1751,3.3531105145812035e-05,0.1240257709287107
1756835664,10,0,2867,2434,0.8489710498779212,safe,0.1751,3.728712908923626e-05,0.13801146997138858
1756835665,10,0,948,874,0.9219409282700421,safe,0.1751,2.7135014533996582e-05,0.005667292978614569
1756835666,10,0,1288,850,0.6599378881987578,safe,0.1751,3.218604251742363e-05,0.001652213977649808
1756835667,10,0,2708,2354,0.8692762186115214,safe,0.1751,3.2349955290555954e-05,0.16191628901287913
1756835668,10,0,2898,2450,0.8454106280193237,safe,0.1751,3.150315023958683e-05,0.14677058183588088
1756835669,10,0,2614,2317,0.886381025248661,safe,0.1751,4.535401239991188e-05,0.12986566685140133
1756835670,10,0,4392,3226,0.7345173041894353,safe,0.1751,3.317114897072315e-05,0.049987159902229905
1756835671,10,0,5116,3589,0.7015246286161063,safe,0.1751,3.749411553144455e-05,0.08522915095090866
1756835672,10,0,2432,2226,0.915296052631579,safe,0.1751,3.177882172167301e-05,0.06999144586734474
1756835673,10,0,994,708,0.7122736418511066,safe,0.1751,3.0902912840247154e-05,0.0013562950771301985
1756835674,10,0,0,871,,,0.1751,2.8809066861867905e-05,0.0048577499110251665
1756835675,10,0,2544,2272,0.8930817610062893,safe,0.1751,5.0762901082634926e-05,0.15493950992822647
1756835676,10,0,3934,3567,0.9067107269954245,safe,0.1751,3.362889401614666e-05,0.11301925405859947
1756835677,10,0,6030,4235,0.7023217247097844,safe,0.1751,5.8037927374243736e-05,0.04205642105080187
1756835678,10,0,0,542,,,0.1751,2.8243055567145348e-05,0.006552383070811629
1756835679,10,0,4038,3082,0.7632491332342743,safe,0.1751,3.3257994800806046e-05,0.2063165840227157
1756835680,10,0,3414,2807,0.8222026947861746,safe,0.1751,3.614090383052826e-05,0.26000720309093595
