num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,ratios
3,0.05,3780.0742672622337,3673.860006340728,0.9719015412365343,0.5,1.0
3,0.05,0,5545.8469808617865,,0.5,1.0
3,0.1,1214.7944438229797,1164.7633095186222,0.9588151439457456,0.6,1.0
3,0.1,4235.510051570635,3934.4806832004006,0.928927244958702,0.6,1.0
3,0.1,0,5580.368671597776,,0.6,1.0
3,0.1,1308.494511260581,1237.395064670647,0.9456631678787569,0.6,1.0
3,0.1,0,3311.946981918311,,0.6,1.0
3,0.1,0,3196.9213166533887,,0.6,1.0
3,0.1,0,3407.952477245892,,0.6,1.0
3,0.1,0,4152.581348050244,,0.6,1.0
3,0.1,3872.271200610093,3663.8622267627447,0.9461791380173702,0.6,1.0
3,0.1,0,5530.930692693633,,0.6,1.0
3,0.2,1272.6417982907408,1176.7154716935881,0.9246242526954644,0.7,1.0
3,0.2,0,4228.263807607283,,0.7,1.0
3,0.2,0,5732.5084981228365,,0.7,1.0
3,0.2,1370.803773701561,1240.838913485153,0.9051907627409969,0.7,1.0
3,0.2,0,3274.2301730859294,,0.7,1.0
3,0.2,0,3210.445036152211,,0.7,1.0
3,0.2,0,3471.8856270223555,,0.7,1.0
3,0.2,0,4212.88410249749,,0.7,1.0
3,0.2,4056.6650673058116,3710.6250657279684,0.9146984047643693,0.7,1.0
3,0.2,0,5619.412225355152,,0.7,1.0
3,0.3,0,1205.972315426093,,1.0,1.0
3,0.3,0,4228.3709712591235,,1.0,1.0
3,0.3,0,5419.114094583151,,1.0,1.0
3,0.3,0,1294.105627563397,,1.0,1.0
3,0.3,0,3492.9263771378287,,1.0,1.0
3,0.3,0,3355.101278061455,,1.0,1.0
3,0.3,0,3420.8036359768416,,1.0,1.0
3,0.3,0,4390.107134613449,,1.0,1.0
3,0.3,0,3858.7338819203555,,1.0,1.0
3,0.3,0,5739.9026907182615,,1.0,1.0
3,0.4,0,1272.663356508135,,1.0,1.0
3,0.4,0,4205.921868921166,,1.0,1.0
3,0.4,0,5745.614579682334,,1.0,1.0
3,0.4,0,1304.9078919428468,,1.0,1.0
