seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
103,8,0.02,0,9172.421363744317,,,1.0,1.0
104,8,0.02,0,12199.40623462054,,,1.0,1.0
105,8,0.02,0,14046.619753360497,,,1.0,1.0
106,8,0.02,0,13219.21543009397,,,1.0,1.0
107,8,0.02,0,14058.75651643669,,,1.0,1.0
108,8,0.02,0,11147.977789723025,,,1.0,1.0
109,8,0.02,0,13751.294625010207,,,1.0,1.0
100,8,0.05,0,11134.232328569136,,,1.0,1.0
101,8,0.05,0,13726.910790189342,,,1.0,1.0
102,8,0.05,0,13067.674134159566,,,1.0,1.0
103,8,0.05,0,9272.207107827971,,,1.0,1.0
104,8,0.05,0,12199.884430730825,,,1.0,1.0
105,8,0.05,0,14031.98380729857,,,1.0,1.0
106,8,0.05,0,13171.23241949077,,,1.0,1.0
107,8,0.05,0,14759.837001661646,,,1.0,1.0
108,8,0.05,0,11039.51543259362,,,1.0,1.0
109,8,0.05,0,13709.674212280235,,,1.0,1.0
100,8,0.1,0,11338.308632617502,,,1.0,1.0
101,8,0.1,0,13733.759830270834,,,1.0,1.0
102,8,0.1,0,13379.512748544821,,,1.0,1.0
103,8,0.1,0,9294.774958579865,,,1.0,1.0
104,8,0.1,0,12163.044838497903,,,1.0,1.0
105,8,0.1,0,14112.685264276031,,,1.0,1.0
106,8,0.1,0,13261.558664415268,,,1.0,1.0
107,8,0.1,0,14590.214543269474,,,1.0,1.0
108,8,0.1,0,11126.630885305784,,,1.0,1.0
109,8,0.1,0,13800.870687140483,,,1.0,1.0
100,8,0.2,0,11374.047111753445,,,1.0,1.0
101,8,0.2,0,14142.6242561831,,,1.0,1.0
102,8,0.2,0,13829.716295415874,,,1.0,1.0
103,8,0.2,0,10135.250438580537,,,1.0,1.0
104,8,0.2,0,12160.785012617634,,,1.0,1.0
105,8,0.2,0,14142.041252629406,,,1.0,1.0
106,8,0.2,0,13256.061875585114,,,1.0,1.0
107,8,0.2,0,15041.590344504562,,,1.0,1.0
108,8,0.2,0,11355.06602901743,,,1.0,1.0
109,8,0.2,0,14235.503772154258,,,1.0,1.0
100,8,0.3,0,11467.610874829055,,,1.0,1.0
101,8,0.3,0,14563.106475509177,,,1.0,1.0
102,8,0.3,0,14163.18368998649,,,1.0,1.0
103,8,0.3,0,10044.393668110728,,,1.0,1.0
104,8,0.3,0,12153.309197517905,,,1.0,1.0
105,8,0.3,0,14042.781724060867,,,1.0,1.0
106,8,0.3,0,13209.0434291206,,,1.0,1.0
107,8,0.3,0,15726.930373160103,,,1.0,1.0
